2.75224-0.17500,-0.52500,-0.17500,
3.45125-0.35000,-0.35000,0.00000,
4.01498-0.35000,-0.17500,0.17500,
4.63845-0.17500,0.00000,0.17500,
5.116300.00000,0.00000,0.17500,
5.296580.00000,0.17500,0.17500,
6.253670.00000,0.17500,0.00000,
10.893290.00000,0.00000,-0.17500,
11.759080.17500,-0.17500,0.00000,
12.55288-0.17500,-0.52500,0.00000,
14.414720.17500,-0.17500,0.52500,
15.797640.35000,-0.17500,0.35000,
16.110840.35000,-0.35000,0.17500,
16.557740.35000,-0.17500,-0.17500,
17.118750.17500,0.00000,-0.35000,
17.458570.00000,0.00000,-0.35000,
18.096240.00000,0.17500,-0.17500,
18.638440.17500,0.17500,-0.17500,
19.795570.35000,0.00000,-0.17500,
20.657840.52500,-0.17500,0.00000,
Untouched:
(-0.53, -0.35, -0.18)
(-0.53, -0.35, 0.00)
(-0.53, -0.35, 0.18)
(-0.53, -0.18, -0.35)
(-0.53, -0.18, -0.18)
(-0.53, -0.18, 0.00)
(-0.53, -0.18, 0.18)
(-0.53, -0.18, 0.35)
(-0.53, 0.00, -0.35)
(-0.53, 0.00, -0.18)
(-0.53, 0.00, 0.00)
(-0.53, 0.00, 0.18)
(-0.53, 0.00, 0.35)
(-0.53, 0.18, -0.35)
(-0.53, 0.18, -0.18)
(-0.53, 0.18, 0.00)
(-0.53, 0.18, 0.18)
(-0.53, 0.18, 0.35)
(-0.53, 0.35, -0.18)
(-0.53, 0.35, 0.00)
(-0.53, 0.35, 0.18)
(-0.35, -0.53, -0.18)
(-0.35, -0.53, 0.00)
(-0.35, -0.53, 0.18)
(-0.35, -0.35, -0.35)
(-0.35, -0.35, -0.18)
(-0.35, -0.35, 0.18)
(-0.35, -0.35, 0.35)
(-0.35, -0.18, -0.53)
(-0.35, -0.18, -0.35)
(-0.35, -0.18, -0.18)
(-0.35, -0.18, 0.00)
(-0.35, -0.18, 0.35)
(-0.35, -0.18, 0.53)
(-0.35, 0.00, -0.53)
(-0.35, 0.00, -0.35)
(-0.35, 0.00, -0.18)
(-0.35, 0.00, 0.00)
(-0.35, 0.00, 0.18)
(-0.35, 0.00, 0.35)
(-0.35, 0.00, 0.53)
(-0.35, 0.18, -0.53)
(-0.35, 0.18, -0.35)
(-0.35, 0.18, -0.18)
(-0.35, 0.18, 0.00)
(-0.35, 0.18, 0.18)
(-0.35, 0.18, 0.35)
(-0.35, 0.18, 0.53)
(-0.35, 0.35, -0.35)
(-0.35, 0.35, -0.18)
(-0.35, 0.35, 0.00)
(-0.35, 0.35, 0.18)
(-0.35, 0.35, 0.35)
(-0.35, 0.53, -0.18)
(-0.35, 0.53, 0.00)
(-0.35, 0.53, 0.18)
(-0.18, -0.53, -0.35)
(-0.18, -0.53, 0.18)
(-0.18, -0.53, 0.35)
(-0.18, -0.35, -0.53)
(-0.18, -0.35, -0.35)
(-0.18, -0.35, -0.18)
(-0.18, -0.35, 0.00)
(-0.18, -0.35, 0.18)
(-0.18, -0.35, 0.35)
(-0.18, -0.35, 0.53)
(-0.18, -0.18, -0.53)
(-0.18, -0.18, -0.35)
(-0.18, -0.18, -0.18)
(-0.18, -0.18, 0.00)
(-0.18, -0.18, 0.18)
(-0.18, -0.18, 0.35)
(-0.18, -0.18, 0.53)
(-0.18, 0.00, -0.53)
(-0.18, 0.00, -0.35)
(-0.18, 0.00, -0.18)
(-0.18, 0.00, 0.00)
(-0.18, 0.00, 0.35)
(-0.18, 0.00, 0.53)
(-0.18, 0.18, -0.53)
(-0.18, 0.18, -0.35)
(-0.18, 0.18, -0.18)
(-0.18, 0.18, 0.00)
(-0.18, 0.18, 0.18)
(-0.18, 0.18, 0.35)
(-0.18, 0.18, 0.53)
(-0.18, 0.35, -0.53)
(-0.18, 0.35, -0.35)
(-0.18, 0.35, -0.18)
(-0.18, 0.35, 0.00)
(-0.18, 0.35, 0.18)
(-0.18, 0.35, 0.35)
(-0.18, 0.35, 0.53)
(-0.18, 0.53, -0.35)
(-0.18, 0.53, -0.18)
(-0.18, 0.53, 0.00)
(-0.18, 0.53, 0.18)
(-0.18, 0.53, 0.35)
(0.00, -0.70, 0.00)
(0.00, -0.53, -0.35)
(0.00, -0.53, -0.18)
(0.00, -0.53, 0.00)
(0.00, -0.53, 0.18)
(0.00, -0.53, 0.35)
(0.00, -0.35, -0.53)
(0.00, -0.35, -0.35)
(0.00, -0.35, -0.18)
(0.00, -0.35, 0.00)
(0.00, -0.35, 0.18)
(0.00, -0.35, 0.35)
(0.00, -0.35, 0.53)
(0.00, -0.18, -0.53)
(0.00, -0.18, -0.35)
(0.00, -0.18, -0.18)
(0.00, -0.18, 0.00)
(0.00, -0.18, 0.18)
(0.00, -0.18, 0.35)
(0.00, -0.18, 0.53)
(0.00, 0.00, -0.70)
(0.00, 0.00, -0.53)
(0.00, 0.00, 0.00)
(0.00, 0.00, 0.35)
(0.00, 0.00, 0.53)
(0.00, 0.18, -0.53)
(0.00, 0.18, -0.35)
(0.00, 0.18, 0.35)
(0.00, 0.18, 0.53)
(0.00, 0.35, -0.53)
(0.00, 0.35, -0.35)
(0.00, 0.35, -0.18)
(0.00, 0.35, 0.00)
(0.00, 0.35, 0.18)
(0.00, 0.35, 0.35)
(0.00, 0.35, 0.53)
(0.00, 0.53, -0.35)
(0.00, 0.53, -0.18)
(0.00, 0.53, 0.00)
(0.00, 0.53, 0.18)
(0.00, 0.53, 0.35)
(0.18, -0.53, -0.35)
(0.18, -0.53, -0.18)
(0.18, -0.53, 0.00)
(0.18, -0.53, 0.18)
(0.18, -0.53, 0.35)
(0.18, -0.35, -0.53)
(0.18, -0.35, -0.35)
(0.18, -0.35, -0.18)
(0.18, -0.35, 0.00)
(0.18, -0.35, 0.18)
(0.18, -0.35, 0.35)
(0.18, -0.35, 0.53)
(0.18, -0.18, -0.53)
(0.18, -0.18, -0.35)
(0.18, -0.18, -0.18)
(0.18, -0.18, 0.18)
(0.18, -0.18, 0.35)
(0.18, 0.00, -0.53)
(0.18, 0.00, -0.18)
(0.18, 0.00, 0.00)
(0.18, 0.00, 0.18)
(0.18, 0.00, 0.35)
(0.18, 0.00, 0.53)
(0.18, 0.18, -0.53)
(0.18, 0.18, -0.35)
(0.18, 0.18, 0.00)
(0.18, 0.18, 0.18)
(0.18, 0.18, 0.35)
(0.18, 0.18, 0.53)
(0.18, 0.35, -0.53)
(0.18, 0.35, -0.35)
(0.18, 0.35, -0.18)
(0.18, 0.35, 0.00)
(0.18, 0.35, 0.18)
(0.18, 0.35, 0.35)
(0.18, 0.35, 0.53)
(0.18, 0.53, -0.35)
(0.18, 0.53, -0.18)
(0.18, 0.53, 0.00)
(0.18, 0.53, 0.18)
(0.18, 0.53, 0.35)
(0.35, -0.53, -0.18)
(0.35, -0.53, 0.00)
(0.35, -0.53, 0.18)
(0.35, -0.35, -0.35)
(0.35, -0.35, -0.18)
(0.35, -0.35, 0.00)
(0.35, -0.35, 0.35)
(0.35, -0.18, -0.53)
(0.35, -0.18, -0.35)
(0.35, -0.18, 0.00)
(0.35, -0.18, 0.18)
(0.35, -0.18, 0.53)
(0.35, 0.00, -0.53)
(0.35, 0.00, -0.35)
(0.35, 0.00, 0.00)
(0.35, 0.00, 0.18)
(0.35, 0.00, 0.35)
(0.35, 0.00, 0.53)
(0.35, 0.18, -0.53)
(0.35, 0.18, -0.35)
(0.35, 0.18, -0.18)
(0.35, 0.18, 0.00)
(0.35, 0.18, 0.18)
(0.35, 0.18, 0.35)
(0.35, 0.18, 0.53)
(0.35, 0.35, -0.35)
(0.35, 0.35, -0.18)
(0.35, 0.35, 0.00)
(0.35, 0.35, 0.18)
(0.35, 0.35, 0.35)
(0.35, 0.53, -0.18)
(0.35, 0.53, 0.00)
(0.35, 0.53, 0.18)
(0.53, -0.35, -0.18)
(0.53, -0.35, 0.00)
(0.53, -0.35, 0.18)
(0.53, -0.18, -0.35)
(0.53, -0.18, -0.18)
(0.53, -0.18, 0.18)
(0.53, -0.18, 0.35)
(0.53, 0.00, -0.35)
(0.53, 0.00, -0.18)
(0.53, 0.00, 0.00)
(0.53, 0.00, 0.18)
(0.53, 0.00, 0.35)
(0.53, 0.18, -0.35)
(0.53, 0.18, -0.18)
(0.53, 0.18, 0.00)
(0.53, 0.18, 0.18)
(0.53, 0.18, 0.35)
(0.53, 0.35, -0.18)
(0.53, 0.35, 0.00)
(0.53, 0.35, 0.18)
Untouched:
(-0.53, -0.35, -0.18)
(-0.53, -0.35, 0.00)
(-0.53, -0.35, 0.18)
(-0.53, -0.18, -0.35)
(-0.53, -0.18, -0.18)
(-0.53, -0.18, 0.00)
(-0.53, -0.18, 0.18)
(-0.53, -0.18, 0.35)
(-0.53, 0.00, -0.35)
(-0.53, 0.00, -0.18)
(-0.53, 0.00, 0.00)
(-0.53, 0.00, 0.18)
(-0.53, 0.00, 0.35)
(-0.53, 0.18, -0.35)
(-0.53, 0.18, -0.18)
(-0.53, 0.18, 0.00)
(-0.53, 0.18, 0.18)
(-0.53, 0.18, 0.35)
(-0.53, 0.35, -0.18)
(-0.53, 0.35, 0.00)
(-0.53, 0.35, 0.18)
(-0.35, -0.53, -0.18)
(-0.35, -0.53, 0.00)
(-0.35, -0.53, 0.18)
(-0.35, -0.35, -0.35)
(-0.35, -0.35, -0.18)
(-0.35, -0.35, 0.18)
(-0.35, -0.35, 0.35)
(-0.35, -0.18, -0.53)
(-0.35, -0.18, -0.35)
(-0.35, -0.18, -0.18)
(-0.35, -0.18, 0.00)
(-0.35, -0.18, 0.35)
(-0.35, -0.18, 0.53)
(-0.35, 0.00, -0.53)
(-0.35, 0.00, -0.35)
(-0.35, 0.00, -0.18)
(-0.35, 0.00, 0.00)
(-0.35, 0.00, 0.18)
(-0.35, 0.00, 0.35)
(-0.35, 0.00, 0.53)
(-0.35, 0.18, -0.53)
(-0.35, 0.18, -0.35)
(-0.35, 0.18, -0.18)
(-0.35, 0.18, 0.00)
(-0.35, 0.18, 0.18)
(-0.35, 0.18, 0.35)
(-0.35, 0.18, 0.53)
(-0.35, 0.35, -0.35)
(-0.35, 0.35, -0.18)
(-0.35, 0.35, 0.00)
(-0.35, 0.35, 0.18)
(-0.35, 0.35, 0.35)
(-0.35, 0.53, -0.18)
(-0.35, 0.53, 0.00)
(-0.35, 0.53, 0.18)
(-0.18, -0.53, -0.35)
(-0.18, -0.53, 0.18)
(-0.18, -0.53, 0.35)
(-0.18, -0.35, -0.53)
(-0.18, -0.35, -0.35)
(-0.18, -0.35, -0.18)
(-0.18, -0.35, 0.00)
(-0.18, -0.35, 0.18)
(-0.18, -0.35, 0.35)
(-0.18, -0.35, 0.53)
(-0.18, -0.18, -0.53)
(-0.18, -0.18, -0.35)
(-0.18, -0.18, -0.18)
(-0.18, -0.18, 0.00)
(-0.18, -0.18, 0.18)
(-0.18, -0.18, 0.35)
(-0.18, -0.18, 0.53)
(-0.18, 0.00, -0.53)
(-0.18, 0.00, -0.35)
(-0.18, 0.00, -0.18)
(-0.18, 0.00, 0.00)
(-0.18, 0.00, 0.35)
(-0.18, 0.00, 0.53)
(-0.18, 0.18, -0.53)
(-0.18, 0.18, -0.35)
(-0.18, 0.18, -0.18)
(-0.18, 0.18, 0.00)
(-0.18, 0.18, 0.18)
(-0.18, 0.18, 0.35)
(-0.18, 0.18, 0.53)
(-0.18, 0.35, -0.53)
(-0.18, 0.35, -0.35)
(-0.18, 0.35, -0.18)
(-0.18, 0.35, 0.00)
(-0.18, 0.35, 0.18)
(-0.18, 0.35, 0.35)
(-0.18, 0.35, 0.53)
(-0.18, 0.53, -0.35)
(-0.18, 0.53, -0.18)
(-0.18, 0.53, 0.00)
(-0.18, 0.53, 0.18)
(-0.18, 0.53, 0.35)
(0.00, -0.70, 0.00)
(0.00, -0.53, -0.35)
(0.00, -0.53, -0.18)
(0.00, -0.53, 0.00)
(0.00, -0.53, 0.18)
(0.00, -0.53, 0.35)
(0.00, -0.35, -0.53)
(0.00, -0.35, -0.35)
(0.00, -0.35, -0.18)
(0.00, -0.35, 0.00)
