1.77023,0.00000,-0.52500,0.17500,
2.22980,0.00000,-0.52500,0.35000,
2.70946,0.17500,-0.35000,0.35000,
3.36869,0.35000,-0.17500,0.17500,
3.98986,0.35000,0.00000,0.17500,
4.17865,0.17500,0.00000,0.35000,
4.37758,0.00000,0.00000,0.52500,
4.42637,0.00000,0.00000,0.35000,
4.50448,-0.17500,0.00000,0.35000,
4.63354,-0.17500,0.00000,0.17500,
4.81923,-0.17500,0.00000,0.00000,
5.22005,0.00000,-0.70000,0.00000,
5.29910,0.00000,0.00000,0.17500,
5.84996,0.35000,0.00000,0.00000,
6.03203,0.17500,0.00000,-0.17500,
6.19978,0.00000,0.00000,-0.35000,
Untouched:
(-0.53, -0.35, -0.18)
(-0.53, -0.35, 0.00)
(-0.53, -0.35, 0.18)
(-0.53, -0.18, -0.35)
(-0.53, -0.18, -0.18)
(-0.53, -0.18, 0.00)
(-0.53, -0.18, 0.18)
(-0.53, -0.18, 0.35)
(-0.53, 0.00, -0.35)
(-0.53, 0.00, -0.18)
(-0.53, 0.00, 0.00)
(-0.53, 0.00, 0.18)
(-0.53, 0.00, 0.35)
(-0.53, 0.18, -0.35)
(-0.53, 0.18, -0.18)
(-0.53, 0.18, 0.00)
(-0.53, 0.18, 0.18)
(-0.53, 0.18, 0.35)
(-0.53, 0.35, -0.18)
(-0.53, 0.35, 0.00)
(-0.53, 0.35, 0.18)
(-0.35, -0.53, -0.18)
(-0.35, -0.53, 0.00)
(-0.35, -0.53, 0.18)
(-0.35, -0.35, -0.35)
(-0.35, -0.35, -0.18)
(-0.35, -0.35, 0.00)
(-0.35, -0.35, 0.18)
(-0.35, -0.35, 0.35)
(-0.35, -0.18, -0.53)
(-0.35, -0.18, -0.35)
(-0.35, -0.18, -0.18)
(-0.35, -0.18, 0.00)
(-0.35, -0.18, 0.18)
(-0.35, -0.18, 0.35)
(-0.35, -0.18, 0.53)
(-0.35, 0.00, -0.53)
(-0.35, 0.00, -0.35)
(-0.35, 0.00, -0.18)
(-0.35, 0.00, 0.00)
(-0.35, 0.00, 0.18)
(-0.35, 0.00, 0.35)
(-0.35, 0.00, 0.53)
(-0.35, 0.18, -0.53)
(-0.35, 0.18, -0.35)
(-0.35, 0.18, -0.18)
(-0.35, 0.18, 0.00)
(-0.35, 0.18, 0.18)
(-0.35, 0.18, 0.35)
(-0.35, 0.18, 0.53)
(-0.35, 0.35, -0.35)
(-0.35, 0.35, -0.18)
(-0.35, 0.35, 0.00)
(-0.35, 0.35, 0.18)
(-0.35, 0.35, 0.35)
(-0.35, 0.53, -0.18)
(-0.35, 0.53, 0.00)
(-0.35, 0.53, 0.18)
(-0.18, -0.53, -0.35)
(-0.18, -0.53, -0.18)
(-0.18, -0.53, 0.00)
(-0.18, -0.53, 0.18)
(-0.18, -0.53, 0.35)
(-0.18, -0.35, -0.53)
(-0.18, -0.35, -0.35)
(-0.18, -0.35, -0.18)
(-0.18, -0.35, 0.00)
(-0.18, -0.35, 0.18)
(-0.18, -0.35, 0.35)
(-0.18, -0.35, 0.53)
(-0.18, -0.18, -0.53)
(-0.18, -0.18, -0.35)
(-0.18, -0.18, -0.18)
(-0.18, -0.18, 0.00)
(-0.18, -0.18, 0.18)
(-0.18, -0.18, 0.35)
(-0.18, -0.18, 0.53)
(-0.18, 0.00, -0.53)
(-0.18, 0.00, -0.35)
(-0.18, 0.00, -0.18)
(-0.18, 0.00, 0.53)
(-0.18, 0.18, -0.53)
(-0.18, 0.18, -0.35)
(-0.18, 0.18, -0.18)
(-0.18, 0.18, 0.00)
(-0.18, 0.18, 0.18)
(-0.18, 0.18, 0.35)
(-0.18, 0.18, 0.53)
(-0.18, 0.35, -0.53)
(-0.18, 0.35, -0.35)
(-0.18, 0.35, -0.18)
(-0.18, 0.35, 0.00)
(-0.18, 0.35, 0.18)
(-0.18, 0.35, 0.35)
(-0.18, 0.35, 0.53)
(-0.18, 0.53, -0.35)
(-0.18, 0.53, -0.18)
(-0.18, 0.53, 0.00)
(-0.18, 0.53, 0.18)
(-0.18, 0.53, 0.35)
(0.00, -0.53, -0.35)
(0.00, -0.53, -0.18)
(0.00, -0.53, 0.00)
(0.00, -0.35, -0.53)
(0.00, -0.35, -0.35)
(0.00, -0.35, -0.18)
(0.00, -0.35, 0.00)
(0.00, -0.35, 0.18)
(0.00, -0.35, 0.35)
(0.00, -0.35, 0.53)
(0.00, -0.18, -0.53)
(0.00, -0.18, -0.35)
(0.00, -0.18, -0.18)
(0.00, -0.18, 0.00)
(0.00, -0.18, 0.18)
(0.00, -0.18, 0.35)
(0.00, -0.18, 0.53)
(0.00, 0.00, -0.70)
(0.00, 0.00, -0.53)
(0.00, 0.00, -0.18)
(0.00, 0.00, 0.00)
(0.00, 0.18, -0.53)
(0.00, 0.18, -0.35)
(0.00, 0.18, -0.18)
(0.00, 0.18, 0.00)
(0.00, 0.18, 0.18)
(0.00, 0.18, 0.35)
(0.00, 0.18, 0.53)
(0.00, 0.35, -0.53)
(0.00, 0.35, -0.35)
(0.00, 0.35, -0.18)
(0.00, 0.35, 0.00)
(0.00, 0.35, 0.18)
(0.00, 0.35, 0.35)
(0.00, 0.35, 0.53)
(0.00, 0.53, -0.35)
(0.00, 0.53, -0.18)
(0.00, 0.53, 0.00)
(0.00, 0.53, 0.18)
(0.00, 0.53, 0.35)
(0.18, -0.53, -0.35)
(0.18, -0.53, -0.18)
(0.18, -0.53, 0.00)
(0.18, -0.53, 0.18)
(0.18, -0.53, 0.35)
(0.18, -0.35, -0.53)
(0.18, -0.35, -0.35)
(0.18, -0.35, -0.18)
(0.18, -0.35, 0.00)
(0.18, -0.35, 0.18)
(0.18, -0.35, 0.53)
(0.18, -0.18, -0.53)
(0.18, -0.18, -0.35)
(0.18, -0.18, -0.18)
(0.18, -0.18, 0.00)
(0.18, -0.18, 0.18)
(0.18, -0.18, 0.35)
(0.18, -0.18, 0.53)
(0.18, 0.00, -0.53)
(0.18, 0.00, -0.35)
(0.18, 0.00, 0.00)
(0.18, 0.00, 0.18)
(0.18, 0.00, 0.53)
(0.18, 0.18, -0.53)
(0.18, 0.18, -0.35)
(0.18, 0.18, -0.18)
(0.18, 0.18, 0.00)
(0.18, 0.18, 0.18)
(0.18, 0.18, 0.35)
(0.18, 0.18, 0.53)
(0.18, 0.35, -0.53)
(0.18, 0.35, -0.35)
(0.18, 0.35, -0.18)
(0.18, 0.35, 0.00)
(0.18, 0.35, 0.18)
(0.18, 0.35, 0.35)
(0.18, 0.35, 0.53)
(0.18, 0.53, -0.35)
(0.18, 0.53, -0.18)
(0.18, 0.53, 0.00)
(0.18, 0.53, 0.18)
(0.18, 0.53, 0.35)
(0.35, -0.53, -0.18)
(0.35, -0.53, 0.00)
(0.35, -0.53, 0.18)
(0.35, -0.35, -0.35)
(0.35, -0.35, -0.18)
(0.35, -0.35, 0.00)
(0.35, -0.35, 0.18)
(0.35, -0.35, 0.35)
(0.35, -0.18, -0.53)
(0.35, -0.18, -0.35)
(0.35, -0.18, -0.18)
(0.35, -0.18, 0.00)
(0.35, -0.18, 0.35)
(0.35, -0.18, 0.53)
(0.35, 0.00, -0.53)
(0.35, 0.00, -0.35)
(0.35, 0.00, -0.18)
(0.35, 0.00, 0.35)
(0.35, 0.00, 0.53)
(0.35, 0.18, -0.53)
(0.35, 0.18, -0.35)
(0.35, 0.18, -0.18)
(0.35, 0.18, 0.00)
(0.35, 0.18, 0.18)
(0.35, 0.18, 0.35)
(0.35, 0.18, 0.53)
(0.35, 0.35, -0.35)
(0.35, 0.35, -0.18)
(0.35, 0.35, 0.00)
(0.35, 0.35, 0.18)
(0.35, 0.35, 0.35)
(0.35, 0.53, -0.18)
(0.35, 0.53, 0.00)
(0.35, 0.53, 0.18)
(0.53, -0.35, -0.18)
(0.53, -0.35, 0.00)
(0.53, -0.35, 0.18)
(0.53, -0.18, -0.35)
(0.53, -0.18, -0.18)
(0.53, -0.18, 0.00)
(0.53, -0.18, 0.18)
(0.53, -0.18, 0.35)
(0.53, 0.00, -0.35)
(0.53, 0.00, -0.18)
(0.53, 0.00, 0.00)
(0.53, 0.00, 0.18)
(0.53, 0.00, 0.35)
(0.53, 0.18, -0.35)
(0.53, 0.18, -0.18)
(0.53, 0.18, 0.00)
(0.53, 0.18, 0.18)
(0.53, 0.18, 0.35)
(0.53, 0.35, -0.18)
(0.53, 0.35, 0.00)
(0.53, 0.35, 0.18)
Untouched:
(-0.53, -0.35, -0.18)
(-0.53, -0.35, 0.00)
(-0.53, -0.35, 0.18)
(-0.53, -0.18, -0.35)
(-0.53, -0.18, -0.18)
(-0.53, -0.18, 0.00)
(-0.53, -0.18, 0.18)
(-0.53, -0.18, 0.35)
(-0.53, 0.00, -0.35)
(-0.53, 0.00, -0.18)
(-0.53, 0.00, 0.00)
(-0.53, 0.00, 0.18)
(-0.53, 0.00, 0.35)
(-0.53, 0.18, -0.35)
(-0.53, 0.18, -0.18)
(-0.53, 0.18, 0.00)
(-0.53, 0.18, 0.18)
(-0.53, 0.18, 0.35)
(-0.53, 0.35, -0.18)
(-0.53, 0.35, 0.00)
(-0.53, 0.35, 0.18)
(-0.35, -0.53, -0.18)
(-0.35, -0.53, 0.00)
(-0.35, -0.53, 0.18)
(-0.35, -0.35, -0.35)
(-0.35, -0.35, -0.18)
(-0.35, -0.35, 0.00)
(-0.35, -0.35, 0.18)
(-0.35, -0.35, 0.35)
(-0.35, -0.18, -0.53)
(-0.35, -0.18, -0.35)
(-0.35, -0.18, -0.18)
(-0.35, -0.18, 0.00)
(-0.35, -0.18, 0.18)
(-0.35, -0.18, 0.35)
(-0.35, -0.18, 0.53)
(-0.35, 0.00, -0.53)
(-0.35, 0.00, -0.35)
(-0.35, 0.00, -0.18)
(-0.35, 0.00, 0.00)
(-0.35, 0.00, 0.18)
(-0.35, 0.00, 0.35)
(-0.35, 0.00, 0.53)
(-0.35, 0.18, -0.53)
(-0.35, 0.18, -0.35)
(-0.35, 0.18, -0.18)
(-0.35, 0.18, 0.00)
(-0.35, 0.18, 0.18)
(-0.35, 0.18, 0.35)
(-0.35, 0.18, 0.53)
(-0.35, 0.35, -0.35)
(-0.35, 0.35, -0.18)
(-0.35, 0.35, 0.00)
(-0.35, 0.35, 0.18)
(-0.35, 0.35, 0.35)
(-0.35, 0.53, -0.18)
(-0.35, 0.53, 0.00)
(-0.35, 0.53, 0.18)
(-0.18, -0.53, -0.35)
(-0.18, -0.53, -0.18)
(-0.18, -0.53, 0.00)
(-0.18, -0.53, 0.18)
(-0.18, -0.53, 0.35)
(-0.18, -0.35, -0.53)
(-0.18, -0.35, -0.35)
(-0.18, -0.35, -0.18)
(-0.18, -0.35, 0.00)
(-0.18, -0.35, 0.18)
(-0.18, -0.35, 0.35)
(-0.18, -0.35, 0.53)
(-0.18, -0.18, -0.53)
(-0.18, -0.18, -0.35)
(-0.18, -0.18, -0.18)
(-0.18, -0.18, 0.00)
(-0.18, -0.18, 0.18)
(-0.18, -0.18, 0.35)
(-0.18, -0.18, 0.53)
(-0.18, 0.00, -0.53)
(-0.18, 0.00, -0.35)
(-0.18, 0.00, -0.18)
(-0.18, 0.00, 0.53)
(-0.18, 0.18, -0.53)
(-0.18, 0.18, -0.35)
(-0.18, 0.18, -0.18)
(-0.18, 0.18, 0.00)
(-0.18, 0.18, 0.18)
(-0.18, 0.18, 0.35)
(-0.18, 0.18, 0.53)
(-0.18, 0.35, -0.53)
(-0.18, 0.35, -0.35)
(-0.18, 0.35, -0.18)
(-0.18, 0.35, 0.00)
(-0.18, 0.35, 0.18)
(-0.18, 0.35, 0.35)
(-0.18, 0.35, 0.53)
(-0.18, 0.53, -0.35)
(-0.18, 0.53, -0.18)
(-0.18, 0.53, 0.00)
(-0.18, 0.53, 0.18)
(-0.18, 0.53, 0.35)
(0.00, -0.53, -0.35)
(0.00, -0.53, -0.18)
(0.00, -0.53, 0.00)
(0.00, -0.35, -0.53)
(0.00, -0.35, -0.35)
(0.00, -0.35, -0.18)
(0.00, -0.35, 0.00)
(0.00, -0.35, 0.18)
