Left,ShoulderPos:(0.09, 0.20, -0.34),Plane:XZ,Radius:0.25
1.38965,3,normal,-0.00173,0.00939,0.01275,
1.40250,3,normal,-0.00179,0.00927,0.01282,
1.42966,3,normal,-0.00177,0.00929,0.01281,
1.46448,3,normal,-0.00172,0.00977,0.01278,
1.50296,3,normal,-0.00173,0.00980,0.01278,
1.51367,3,normal,-0.00182,0.00999,0.01275,
1.53809,3,normal,-0.00187,0.00996,0.01276,
1.54715,3,normal,-0.00197,0.00995,0.01274,
1.56958,3,normal,-0.00198,0.00995,0.01273,
1.57803,3,normal,-0.00219,0.00977,0.01274,
1.59964,3,normal,-0.00219,0.00974,0.01274,
1.60739,3,normal,-0.00219,0.00974,0.01274,
1.61530,3,normal,-0.00232,0.00966,0.01267,
1.63812,3,normal,-0.00232,0.00965,0.01266,
1.64688,3,normal,-0.00232,0.00965,0.01266,
1.65518,3,normal,-0.00234,0.00962,0.01267,
1.67761,3,normal,-0.00234,0.00961,0.01267,
1.69327,3,normal,-0.00236,0.00960,0.01268,
1.70194,3,normal,-0.00236,0.00960,0.01268,
1.71100,3,normal,-0.00236,0.00960,0.01268,
1.71973,3,normal,-0.00236,0.00960,0.01268,
1.72998,3,normal,-0.00236,0.00960,0.01268,
1.73807,3,normal,-0.00234,0.00961,0.01267,
1.74677,3,normal,-0.00234,0.00961,0.01267,
1.75604,3,normal,-0.00232,0.00961,0.01267,
1.76508,3,normal,-0.00232,0.00961,0.01267,
1.77383,3,normal,-0.00222,0.00962,0.01266,
1.79773,3,normal,-0.00220,0.00965,0.01266,
1.80560,3,normal,-0.00220,0.00965,0.01266,
1.81348,3,normal,-0.00220,0.00965,0.01266,
1.82175,3,normal,-0.00209,0.00969,0.01270,
1.82996,3,normal,-0.00209,0.00969,0.01270,
1.83896,3,normal,-0.00202,0.00971,0.01271,
1.84692,3,normal,-0.00202,0.00971,0.01271,
1.85550,3,normal,-0.00203,0.00973,0.01277,
1.86334,3,normal,-0.00203,0.00973,0.01277,
1.87177,3,normal,-0.00203,0.00973,0.01277,
1.87927,3,normal,-0.00203,0.00977,0.01287,
1.88712,3,normal,-0.00204,0.00976,0.01288,
1.89514,3,normal,-0.00207,0.00976,0.01285,
1.90277,3,normal,-0.00208,0.00977,0.01284,
1.91083,3,normal,-0.00208,0.00977,0.01284,
1.91849,3,normal,-0.00209,0.00978,0.01284,
1.92783,3,normal,-0.00212,0.00977,0.01287,
1.95090,3,normal,-0.00211,0.00976,0.01287,
1.95947,3,normal,-0.00214,0.00978,0.01287,
1.96759,3,normal,-0.00214,0.00978,0.01287,
1.97659,3,normal,-0.00214,0.00978,0.01287,
1.98401,3,normal,-0.00214,0.00978,0.01287,
1.99197,3,normal,-0.00220,0.00976,0.01284,
2.00238,3,normal,-0.00220,0.00975,0.01284,
2.01212,3,normal,-0.00225,0.00972,0.01289,
2.02231,3,normal,-0.00225,0.00971,0.01289,
2.03241,3,normal,-0.00227,0.00967,0.01290,
2.04382,3,normal,-0.00227,0.00967,0.01291,
2.05277,3,normal,-0.00223,0.00969,0.01291,
2.06369,3,normal,-0.00223,0.00969,0.01292,
2.07260,3,normal,-0.00219,0.00974,0.01292,
2.08194,3,normal,-0.00192,0.00985,0.01294,
2.10709,3,normal,-0.00190,0.00986,0.01295,
2.11569,3,normal,-0.00175,0.00993,0.01301,
2.12390,3,normal,-0.00175,0.00993,0.01302,
2.13455,3,normal,-0.00144,0.01005,0.01315,
