Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.00000,1,normal,0.00000,0.00000,0.00000,
0.00677,1,normal,0.00000,0.00000,0.00000,
0.01338,1,normal,0.00000,0.00000,0.00000,
0.01898,1,normal,0.00000,0.00000,0.00000,
0.02378,1,normal,0.00000,0.00000,0.00000,
0.02860,1,normal,0.00000,0.00000,0.00000,
0.03555,1,normal,0.00000,0.00000,0.00000,
0.04053,1,normal,0.00000,0.00000,0.00000,
0.04548,1,normal,0.00000,0.00000,0.00000,
0.05026,1,normal,0.00000,0.00000,0.00000,
0.05563,1,normal,0.00000,0.00000,0.00000,
0.06056,1,normal,0.00000,0.00000,0.00000,
0.06534,1,normal,0.00000,0.00000,0.00000,
0.07036,1,normal,0.00000,0.00000,0.00000,
0.07579,1,normal,0.00000,0.00000,0.00000,
0.08073,1,normal,0.00000,0.00000,0.00000,
0.08567,1,normal,0.00000,0.00000,0.00000,
0.09045,1,normal,0.00000,0.00000,0.00000,
0.09619,1,normal,0.00000,0.00000,0.00000,
0.11212,1,normal,0.00000,0.00000,0.00000,
0.12610,1,normal,0.00000,0.00000,0.00000,
0.14036,1,normal,0.00000,0.00000,0.00000,
0.15471,1,normal,0.00000,0.00000,0.00000,
0.16043,1,normal,0.00000,0.00000,0.00000,
0.16481,1,normal,0.00000,0.00000,0.00000,
0.16914,1,normal,0.00000,0.00000,0.00000,
0.17386,1,normal,0.00000,0.00000,0.00000,
0.17817,1,normal,0.00000,0.00000,0.00000,
0.19163,1,normal,0.00000,0.00000,0.00000,
0.19701,1,normal,0.00000,0.00000,0.00000,
0.20142,1,normal,0.00000,0.00000,0.00000,
0.20566,1,normal,0.00000,0.00000,0.00000,
0.21007,1,normal,0.00000,0.00000,0.00000,
0.21478,1,normal,0.00000,0.00000,0.00000,
0.21912,1,normal,0.00000,0.00000,0.00000,
0.22352,1,normal,0.00000,0.00000,0.00000,
0.22801,1,normal,0.00000,0.00000,0.00000,
0.23234,1,normal,0.00000,0.00000,0.00000,
0.23822,1,normal,0.00000,0.00000,0.00000,
0.24274,1,normal,0.00000,0.00000,0.00000,
0.24722,1,normal,0.00000,0.00000,0.00000,
0.26069,1,normal,0.00000,0.00000,0.00000,
0.26574,1,normal,0.00000,0.00000,0.00000,
0.27034,1,normal,0.00000,0.00000,0.00000,
0.27496,1,normal,0.00000,0.00000,0.00000,
0.27933,1,normal,0.00000,0.00000,0.00000,
0.28385,1,normal,0.00000,0.00000,0.00000,
0.28815,1,normal,0.00000,0.00000,0.00000,
0.29264,1,normal,0.00000,0.00000,0.00000,
0.29827,1,normal,0.00000,0.00000,0.00000,
0.30274,1,normal,0.00000,0.00000,0.00000,
0.30712,1,normal,0.00000,0.00000,0.00000,
0.31147,1,normal,0.00000,0.00000,0.00000,
0.31606,1,normal,0.00000,0.00000,0.00000,
0.32036,1,normal,0.00000,0.00000,0.00000,
0.32466,1,normal,0.00000,0.00000,0.00000,
