Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.00000,1,normal,0.00000,0.00000,0.00000,
0.00641,1,normal,0.00000,0.00000,0.00000,
0.01190,1,normal,0.00000,0.00000,0.00000,
0.01651,1,normal,0.00000,0.00000,0.00000,
0.02128,1,normal,0.00000,0.00000,0.00000,
0.02542,1,normal,0.00000,0.00000,0.00000,
0.03253,1,normal,0.00000,0.00000,0.00000,
0.03654,1,normal,0.00000,0.00000,0.00000,
0.04100,1,normal,0.00000,0.00000,0.00000,
0.04487,1,normal,0.00000,0.00000,0.00000,
0.04871,1,normal,0.00000,0.00000,0.00000,
0.05243,1,normal,0.00000,0.00000,0.00000,
0.05656,1,normal,0.00000,0.00000,0.00000,
0.06084,1,normal,0.00000,0.00000,0.00000,
0.07063,1,normal,0.00000,0.00000,0.00000,
0.07454,1,normal,0.00000,0.00000,0.00000,
0.07893,1,normal,0.00000,0.00000,0.00000,
0.08295,1,normal,0.00000,0.00000,0.00000,
0.08821,1,normal,0.00000,0.00000,0.00000,
0.09318,1,normal,0.00000,0.00000,0.00000,
0.09684,1,normal,0.00000,0.00000,0.00000,
0.10074,1,normal,0.00000,0.00000,0.00000,
0.11092,1,normal,0.00000,0.00000,0.00000,
0.11473,1,normal,0.00000,0.00000,0.00000,
0.11905,1,normal,0.00000,0.00000,0.00000,
0.12280,1,normal,0.00000,0.00000,0.00000,
0.12654,1,normal,0.00000,0.00000,0.00000,
0.13016,1,normal,0.00000,0.00000,0.00000,
0.13365,1,normal,0.00000,0.00000,0.00000,
0.14153,1,normal,0.00000,0.00000,0.00000,
0.14561,1,normal,0.00000,0.00000,0.00000,
0.14915,1,normal,0.00000,0.00000,0.00000,
0.15274,1,normal,0.00000,0.00000,0.00000,
0.15938,1,normal,0.00000,0.00000,0.00000,
0.16888,1,normal,0.00000,0.00000,0.00000,
0.17293,1,normal,0.00000,0.00000,0.00000,
0.17653,1,normal,0.00000,0.00000,0.00000,
0.18062,1,normal,0.00000,0.00000,0.00000,
0.18427,1,normal,0.00000,0.00000,0.00000,
0.18781,1,normal,0.00000,0.00000,0.00000,
0.19155,1,normal,0.00000,0.00000,0.00000,
0.19516,1,normal,0.00000,0.00000,0.00000,
0.19922,1,normal,0.00000,0.00000,0.00000,
0.20796,1,normal,0.00000,0.00000,0.00000,
0.21142,1,normal,0.00000,0.00000,0.00000,
0.21497,1,normal,0.00000,0.00000,0.00000,
0.21895,1,normal,0.00000,0.00000,0.00000,
0.22252,1,normal,0.00000,0.00000,0.00000,
0.22604,1,normal,0.00000,0.00000,0.00000,
0.22964,1,normal,0.00000,0.00000,0.00000,
0.23374,1,normal,0.00000,0.00000,0.00000,
0.24133,1,normal,0.00000,0.00000,0.00000,
0.24635,1,normal,0.00000,0.00000,0.00000,
0.25054,1,normal,0.00000,0.00000,0.00000,
0.25445,1,normal,0.00000,0.00000,0.00000,
0.25885,1,normal,0.00000,0.00000,0.00000,
0.26295,1,normal,0.00000,0.00000,0.00000,
0.26705,1,normal,0.00000,0.00000,0.00000,
0.27534,1,normal,0.00000,0.00000,0.00000,
0.28036,1,normal,0.00000,0.00000,0.00000,
0.28456,1,normal,0.00000,0.00000,0.00000,
0.28847,1,normal,0.00000,0.00000,0.00000,
0.29217,1,normal,0.00000,0.00000,0.00000,
0.29602,1,normal,0.00000,0.00000,0.00000,
0.30066,1,normal,0.00000,0.00000,0.00000,
0.30778,1,normal,0.00000,0.00000,0.00000,
0.31175,1,normal,0.00000,0.00000,0.00000,
0.31556,1,normal,0.00000,0.00000,0.00000,
0.31978,1,normal,0.00000,0.00000,0.00000,
0.32356,1,normal,0.00000,0.00000,0.00000,
0.32725,1,normal,0.00000,0.00000,0.00000,
0.33102,1,normal,0.00000,0.00000,0.00000,
0.33463,1,normal,0.00000,0.00000,0.00000,
0.34053,1,normal,0.00000,0.00000,0.00000,
0.34426,1,normal,0.00000,0.00000,0.00000,
0.34790,1,normal,0.00000,0.00000,0.00000,
0.35154,1,normal,0.00000,0.00000,0.00000,
0.35525,1,normal,0.00000,0.00000,0.00000,
0.35946,1,normal,0.00000,0.00000,0.00000,
0.36302,1,normal,0.00000,0.00000,0.00000,
0.36667,1,normal,0.00000,0.00000,0.00000,
0.37393,1,normal,0.00000,0.00000,0.00000,
0.37778,1,normal,0.00000,0.00000,0.00000,
0.38193,1,normal,0.00000,0.00000,0.00000,
0.38561,1,normal,0.00000,0.00000,0.00000,
0.38931,1,normal,0.00000,0.00000,0.00000,
0.39293,1,normal,0.00000,0.00000,0.00000,
0.39638,1,normal,0.00000,0.00000,0.00000,
0.40024,1,normal,0.00000,0.00000,0.00000,
0.40745,1,normal,0.00000,0.00000,0.00000,
0.41094,1,normal,0.00000,0.00000,0.00000,
0.41448,1,normal,0.00000,0.00000,0.00000,
0.41845,1,normal,0.00000,0.00000,0.00000,
0.42984,1,normal,0.00000,0.00000,0.00000,
0.43384,1,normal,0.00000,0.00000,0.00000,
0.44067,1,normal,0.00000,0.00000,0.00000,
0.44473,1,normal,0.00000,0.00000,0.00000,
0.44843,1,normal,0.00000,0.00000,0.00000,
0.45248,1,normal,0.00000,0.00000,0.00000,
0.45614,1,normal,0.00000,0.00000,0.00000,
0.46036,1,normal,0.00000,0.00000,0.00000,
0.46397,1,normal,0.00000,0.00000,0.00000,
0.46755,1,normal,0.00000,0.00000,0.00000,
0.47410,1,normal,0.00000,0.00000,0.00000,
0.47795,1,normal,0.00000,0.00000,0.00000,
0.48204,1,normal,0.00000,0.00000,0.00000,
0.48576,1,normal,0.00000,0.00000,0.00000,
0.48937,1,normal,0.00000,0.00000,0.00000,
0.49284,1,normal,0.00000,0.00000,0.00000,
0.49652,1,normal,0.00000,0.00000,0.00000,
0.50043,1,normal,0.00000,0.00000,0.00000,
0.50755,1,normal,0.00000,0.00000,0.00000,
0.51115,1,normal,0.00000,0.00000,0.00000,
0.51479,1,normal,0.00000,0.00000,0.00000,
0.51875,1,normal,0.00000,0.00000,0.00000,
0.52223,1,normal,0.00000,0.00000,0.00000,
0.52564,1,normal,0.00000,0.00000,0.00000,
0.52930,1,normal,0.00000,0.00000,0.00000,
0.53358,1,normal,0.00000,0.00000,0.00000,
0.54125,1,normal,0.00000,0.00000,0.00000,
0.54577,1,normal,0.00000,0.00000,0.00000,
0.54972,1,normal,0.00000,0.00000,0.00000,
0.55388,1,normal,0.00000,0.00000,0.00000,
0.55775,1,normal,0.00000,0.00000,0.00000,
0.56277,1,normal,0.00000,0.00000,0.00000,
0.56656,1,normal,0.00000,0.00000,0.00000,
0.57444,1,normal,0.00000,0.00000,0.00000,
0.57857,1,normal,0.00000,0.00000,0.00000,
0.58232,1,normal,0.00000,0.00000,0.00000,
0.58605,1,normal,0.00000,0.00000,0.00000,
0.58984,1,normal,0.00000,0.00000,0.00000,
0.59354,1,normal,0.00000,0.00000,0.00000,
0.59720,1,normal,0.00000,0.00000,0.00000,
0.60135,1,normal,0.00000,0.00000,0.00000,
0.60750,1,normal,0.00000,0.00000,0.00000,
0.61137,1,normal,0.00000,0.00000,0.00000,
0.61497,1,normal,0.00000,0.00000,0.00000,
0.61916,1,normal,0.00000,0.00000,0.00000,
0.62285,1,normal,0.00000,0.00000,0.00000,
0.62653,1,normal,0.00000,0.00000,0.00000,
0.63022,1,normal,0.00000,0.00000,0.00000,
0.63395,1,normal,0.00000,0.00000,0.00000,
0.64105,1,normal,0.00000,0.00000,0.00000,
0.64527,1,normal,0.00000,0.00000,0.00000,
0.64914,1,normal,0.00000,0.00000,-0.00919,
0.65833,1,normal,0.00000,0.00000,-0.01481,
0.66395,1,normal,0.00000,0.00000,-0.01913,
0.66827,1,normal,0.00000,0.00000,-0.02543,
