Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.45072,1,normal,0.00000,0.00000,0.00000,
0.45404,1,normal,0.00000,0.00000,0.00000,
0.45754,1,normal,0.00000,0.00000,0.00000,
0.46071,1,normal,0.00000,0.00000,0.00000,
0.46401,1,normal,0.00000,0.00000,0.00000,
0.46793,1,normal,0.00000,0.00000,0.00000,
0.47120,1,normal,0.00000,0.00000,0.00000,
0.47451,1,normal,0.00000,0.00000,0.00000,
0.47785,1,normal,0.00000,0.00000,0.00000,
0.48116,1,normal,0.00000,0.00000,0.00000,
0.48442,1,normal,0.00000,0.00000,0.00000,
0.48804,1,normal,0.00000,0.00000,0.00000,
0.49143,1,normal,0.00000,0.00000,0.00000,
0.49470,1,normal,0.00000,0.00000,0.00000,
0.49791,1,normal,0.00000,0.00000,0.00000,
0.50102,1,normal,0.00000,0.00000,0.00000,
0.50450,1,normal,0.00000,0.00000,0.00000,
0.50851,1,normal,0.00000,0.00000,0.00000,
0.51161,1,normal,0.00000,0.00000,0.00000,
0.51493,1,normal,0.00000,0.00000,0.00000,
0.51810,1,normal,0.00000,0.00000,0.00000,
0.52138,1,normal,0.00000,0.00000,0.00000,
0.52477,1,normal,0.00000,0.00000,0.00000,
0.52894,1,normal,0.00000,0.00000,0.00000,
0.53232,1,normal,0.00000,0.00000,0.00000,
0.53553,1,normal,0.00000,0.00000,0.00000,
0.53869,1,normal,0.00000,0.00000,0.00000,
0.54202,1,normal,0.00000,0.00000,0.00000,
0.54522,1,normal,0.00000,0.00000,0.00000,
0.54881,1,normal,0.00000,0.00000,0.00000,
0.55190,1,normal,0.00000,0.00000,0.00000,
0.55516,1,normal,0.00000,0.00000,0.00000,
0.55839,1,normal,0.00000,0.00000,0.00000,
0.56165,1,normal,0.00000,0.00000,0.00000,
0.56472,1,normal,0.00000,0.00000,0.00000,
0.56853,1,normal,0.00000,0.00000,0.00000,
0.57160,1,normal,0.00000,0.00000,0.00000,
0.57482,1,normal,0.00000,0.00000,0.00000,
0.57793,1,normal,0.00000,0.00000,0.00000,
0.58124,1,normal,0.00000,0.00000,0.00000,
0.58442,1,normal,0.00000,0.00000,0.00000,
0.58822,1,normal,0.00000,0.00000,0.00000,
0.59142,1,normal,0.00000,0.00000,0.00000,
0.59462,1,normal,0.00000,0.00000,0.00000,
0.60549,1,normal,0.00000,0.00000,0.00000,
0.60981,1,normal,0.00000,0.00000,0.00000,
0.61331,1,normal,0.00000,0.00000,0.00000,
0.61650,1,normal,0.00000,0.00000,0.00000,
0.61972,1,normal,0.00000,0.00000,0.00000,
0.62303,1,normal,0.00000,0.00000,0.00000,
0.62621,1,normal,0.00000,0.00000,0.00000,
0.62987,1,normal,0.00000,0.00000,0.00000,
0.63313,1,normal,0.00000,0.00000,0.00000,
0.63644,1,normal,0.00000,0.00000,0.00000,
0.63982,1,normal,0.00000,0.00000,0.00000,
0.64313,1,normal,0.00000,0.00000,0.00000,
0.64635,1,normal,0.00000,0.00000,0.00000,
0.65001,1,normal,0.00000,0.00000,0.00000,
0.65318,1,normal,0.00000,0.00000,0.00000,
0.65640,1,normal,0.00000,0.00000,0.00000,
0.65950,1,normal,0.00000,0.00000,0.00000,
0.66283,1,normal,0.00000,0.00000,0.00000,
0.66615,1,normal,0.00000,0.00000,0.00000,
0.66984,1,normal,0.00000,0.00000,0.00000,
0.67313,1,normal,0.00000,0.00000,0.00000,
0.67637,1,normal,0.00000,0.00000,0.00000,
0.67960,1,normal,0.00000,0.00000,0.00000,
0.68281,1,normal,0.00000,0.00000,0.00000,
0.68614,1,normal,0.00000,0.00000,0.00000,
0.68986,1,normal,0.00000,0.00000,0.00000,
0.69302,1,normal,0.00000,0.00000,0.00000,
0.69613,1,normal,0.00000,0.00000,0.00000,
0.69940,1,normal,0.00000,0.00000,0.00000,
0.70286,1,normal,0.00000,0.00000,0.00000,
0.70622,1,normal,0.00000,0.00000,0.00000,
0.70991,1,normal,0.00000,0.00000,0.00000,
0.71320,1,normal,0.00000,0.00000,0.00000,
0.71641,1,normal,0.00000,0.00000,0.00000,
0.71972,1,normal,0.00000,0.00000,0.00000,
0.72303,1,normal,0.00000,0.00000,0.00000,
0.72633,1,normal,0.00000,0.00000,-0.00935,
0.73569,1,normal,0.00000,0.00000,-0.01382,
0.74016,1,normal,0.00000,0.00000,-0.01770,
0.74403,1,normal,0.00000,0.00000,-0.02187,
0.74820,1,normal,0.00000,0.00000,-0.02551,
0.75185,1,normal,0.00000,0.00000,-0.02925,
0.75558,1,normal,0.00000,0.00000,-0.03286,
0.75920,1,normal,0.00000,0.00000,-0.03639,
0.76272,1,normal,0.00000,0.00000,-0.03988,
0.76622,1,normal,0.00000,0.00000,-0.04404,
0.77037,1,normal,0.00000,0.00000,-0.04771,
0.77405,1,normal,0.00000,0.00000,-0.05153,
0.77786,1,normal,0.00000,0.00000,-0.05517,
0.78151,1,normal,0.00000,0.00000,-0.05881,
0.78514,1,normal,0.00000,0.00000,-0.06304,
0.78937,1,normal,0.00000,0.00000,-0.06681,
0.79315,1,normal,0.00000,0.00000,-0.07050,
0.79683,1,normal,0.00000,0.00000,-0.07050,
0.80114,1,normal,0.00000,0.00000,-0.07050,
0.80466,1,normal,0.00000,0.00000,-0.07050,
0.80884,1,normal,0.00000,0.00000,-0.07050,
0.81212,1,normal,0.00000,0.00000,-0.07050,
0.81543,1,normal,0.00000,0.00000,-0.07050,
0.81861,1,normal,0.00000,0.00000,-0.07050,
0.82184,1,normal,0.00000,0.00000,-0.07050,
0.83258,1,normal,0.00000,0.00000,-0.07050,
0.83663,1,normal,0.00000,0.00000,-0.07050,
0.84002,1,normal,0.00000,0.00000,-0.07050,
0.84333,1,normal,0.00000,0.00000,-0.07050,
0.84663,1,normal,0.00000,0.00000,-0.07050,
0.85054,1,normal,0.00000,0.00000,-0.07050,
0.85380,1,normal,0.00000,0.00000,-0.07050,
0.85715,1,normal,0.00000,0.00000,-0.07050,
0.86040,1,normal,0.00000,0.00000,-0.07050,
0.86372,1,normal,0.00000,0.00000,-0.07050,
0.86746,1,normal,0.00000,0.00000,-0.07050,
0.87071,1,normal,0.00000,0.00000,-0.07050,
0.87401,1,normal,0.00000,0.00000,-0.07050,
0.87732,1,normal,0.00000,0.00000,-0.07050,
0.88052,1,normal,0.00000,0.00000,-0.07050,
0.88382,1,normal,0.00000,0.00000,-0.07050,
0.88744,1,normal,0.00000,0.00000,-0.07050,
0.89074,1,normal,0.00000,0.00000,-0.07050,
0.89391,1,normal,0.00000,0.00000,-0.07050,
0.89708,1,normal,0.00000,0.00000,-0.07050,
0.90030,1,normal,0.00000,0.00000,-0.07050,
0.90352,1,normal,0.00000,0.00000,-0.07050,
0.90681,1,normal,0.00000,0.00000,-0.07050,
0.91051,1,normal,0.00000,0.00000,-0.07050,
0.91392,1,normal,0.00000,0.00000,-0.07050,
0.91741,1,normal,0.00000,0.00000,-0.07050,
0.92060,1,normal,0.00000,0.00000,-0.07050,
0.92392,1,normal,0.00000,0.00000,-0.07050,
0.92788,1,normal,0.00000,0.00000,-0.07050,
0.93111,1,normal,0.00000,0.00000,-0.07050,
0.93422,1,normal,0.00000,0.00000,-0.07050,
0.93738,1,normal,0.00000,0.00000,-0.07050,
0.94062,1,normal,0.00000,0.00000,-0.07050,
0.94401,1,normal,0.00000,0.00000,-0.07050,
0.94766,1,normal,0.00000,0.00000,-0.07050,
0.95081,1,normal,0.00000,0.00000,-0.07050,
0.95405,1,normal,0.00000,0.00000,-0.07050,
0.95733,1,normal,0.00000,0.00000,-0.07050,
0.96065,1,normal,0.00000,0.00000,-0.07050,
0.96397,1,normal,0.00000,0.00000,-0.07050,
0.96760,1,normal,0.00000,0.00000,-0.07050,
0.97092,1,normal,0.00000,0.00000,-0.07050,
0.97426,1,normal,0.00000,0.00000,-0.07050,
0.97785,1,normal,0.00000,0.00000,-0.07050,
0.98149,1,normal,0.00000,0.00000,-0.07050,
0.98482,1,normal,0.00000,0.00000,-0.07050,
0.98858,1,normal,0.00000,0.00000,-0.07050,
0.99193,1,normal,0.00000,0.00000,-0.07050,
0.99515,1,normal,0.00000,0.00000,-0.07050,
0.99850,1,normal,0.00000,0.00000,-0.07050,
1.00170,1,normal,0.00000,0.00000,-0.07050,
1.00495,1,normal,0.00000,0.00000,-0.07050,
1.00873,1,normal,0.00000,0.00000,-0.07050,
1.01213,1,normal,0.00000,0.00000,-0.07050,
1.01543,1,normal,0.00000,0.00000,-0.07050,
1.01861,1,normal,0.00000,0.00000,-0.07050,
1.02187,1,normal,0.00000,0.00000,-0.07050,
1.02530,1,normal,0.00000,0.00000,-0.07050,
1.02913,1,normal,0.00000,0.00000,-0.07050,
1.03229,1,normal,0.00000,0.00000,-0.07050,
1.03552,1,normal,0.00000,0.00000,-0.07050,
1.04642,1,normal,0.00000,0.00000,-0.07050,
1.05055,1,normal,0.00000,0.00000,-0.07050,
1.05385,1,normal,0.00000,0.00000,-0.07050,
1.05699,1,normal,0.00000,0.00000,-0.07050,
1.06032,1,normal,0.00000,0.00000,-0.07050,
1.06361,1,normal,0.00000,0.00000,-0.07050,
1.06703,1,normal,0.00000,0.00000,-0.07050,
1.07085,1,normal,0.00000,0.00000,-0.07050,
1.07410,1,normal,0.00000,0.00000,-0.07050,
1.07754,1,normal,0.00000,0.00000,-0.07434,
1.08137,1,normal,0.00000,0.00000,-0.07790,
1.08493,1,normal,0.00000,0.00000,-0.08196,
1.08900,1,normal,0.00000,0.00000,-0.08558,
1.09262,1,normal,0.00000,0.00000,-0.08924,
1.09627,1,normal,0.00000,0.00000,-0.09280,
1.09984,1,normal,0.00000,0.00000,-0.09636,
1.10340,1,normal,0.00000,0.00000,-0.09997,
1.10701,1,normal,0.00000,0.00000,-0.10540,
1.11244,1,normal,0.00000,0.00000,-0.10907,
1.11611,1,normal,0.00000,0.00000,-0.11264,
1.11967,1,normal,0.00000,0.00000,-0.11629,
1.12333,1,normal,0.00000,0.00000,-0.11986,
1.12690,1,normal,0.00000,0.00000,-0.12382,
1.13086,1,normal,0.00000,0.00000,-0.12744,
1.13448,1,normal,0.00000,0.00000,-0.12744,
1.13815,1,normal,0.00000,0.00000,-0.12744,
1.14152,1,normal,0.00000,0.00000,-0.12744,
1.14494,1,normal,0.00000,0.00000,-0.12744,
1.14861,1,normal,0.00000,0.00000,-0.12744,
1.15193,1,normal,0.00000,0.00000,-0.12744,
1.15526,1,normal,0.00000,0.00000,-0.12744,
1.15840,1,normal,0.00000,0.00000,-0.12744,
1.16172,1,normal,0.00000,0.00000,-0.12744,
1.16501,1,normal,0.00000,0.00000,-0.12744,
1.16905,1,normal,0.00000,0.00000,-0.12744,
1.17233,1,normal,0.00000,0.00000,-0.12744,
1.17570,1,normal,0.00000,0.00000,-0.12744,
