Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.24206,1,normal,0.00000,0.00000,0.00000,
0.24397,1,normal,0.00000,0.00000,0.00000,
0.24575,1,normal,0.00000,0.00000,0.00000,
0.24749,1,normal,0.00000,0.00000,0.00000,
0.24926,1,normal,0.00000,0.00000,0.00000,
0.25126,1,normal,0.00000,0.00000,0.00000,
0.25294,1,normal,0.00000,0.00000,0.00000,
0.25475,1,normal,0.00000,0.00000,0.00000,
0.25650,1,normal,0.00000,0.00000,0.00000,
0.25835,1,normal,0.00000,0.00000,0.00000,
0.26018,1,normal,0.00000,0.00000,0.00000,
0.26195,1,normal,0.00000,0.00000,0.00000,
0.26396,1,normal,0.00000,0.00000,0.00000,
0.26565,1,normal,0.00000,0.00000,0.00000,
0.26735,1,normal,0.00000,0.00000,0.00000,
0.26905,1,normal,0.00000,0.00000,0.00000,
0.27126,1,normal,0.00000,0.00000,0.00000,
0.27309,1,normal,0.00000,0.00000,0.00000,
0.27486,1,normal,0.00000,0.00000,0.00000,
0.27667,1,normal,0.00000,0.00000,0.00000,
0.27856,1,normal,0.00000,0.00000,0.00000,
0.28059,1,normal,0.00000,0.00000,0.00000,
0.28226,1,normal,0.00000,0.00000,0.00000,
0.28395,1,normal,0.00000,0.00000,0.00000,
0.28576,1,normal,0.00000,0.00000,0.00000,
0.29057,1,normal,0.00000,0.00000,0.00000,
0.29277,1,normal,0.00000,0.00000,0.00000,
0.29455,1,normal,0.00000,0.00000,0.00000,
0.29625,1,normal,0.00000,0.00000,0.00000,
0.29798,1,normal,0.00000,0.00000,0.00000,
0.29974,1,normal,0.00000,0.00000,0.00000,
0.30144,1,normal,0.00000,0.00000,0.00000,
0.30316,1,normal,0.00000,0.00000,0.00000,
0.30495,1,normal,0.00000,0.00000,0.00000,
0.30674,1,normal,0.00000,0.00000,0.00000,
0.30844,1,normal,0.00000,0.00000,0.00000,
0.31044,1,normal,0.00000,0.00000,0.00000,
0.31215,1,normal,0.00000,0.00000,0.00000,
0.31390,1,normal,0.00000,0.00000,0.00000,
0.31566,1,normal,0.00000,0.00000,0.00000,
0.31745,1,normal,0.00000,0.00000,0.00000,
0.31915,1,normal,0.00000,0.00000,0.00000,
0.32085,1,normal,0.00000,0.00000,0.00000,
0.32265,1,normal,0.00000,0.00000,0.00000,
0.32436,1,normal,0.00000,0.00000,0.00000,
0.32616,1,normal,0.00000,0.00000,0.00000,
0.32795,1,normal,0.00000,0.00000,0.00000,
0.32986,1,normal,0.00000,0.00000,0.00000,
0.33226,1,normal,0.00000,0.00000,0.00000,
0.33425,1,normal,0.00000,0.00000,0.00000,
0.33618,1,normal,0.00000,0.00000,0.00000,
0.33806,1,normal,0.00000,0.00000,0.00000,
0.33991,1,normal,0.00000,0.00000,0.00000,
0.34174,1,normal,0.00000,0.00000,0.00000,
0.34356,1,normal,0.00000,0.00000,0.00000,
0.34534,1,normal,0.00000,0.00000,0.00000,
0.34729,1,normal,0.00000,0.00000,0.00000,
0.34915,1,normal,0.00000,0.00000,0.00000,
0.35115,1,normal,0.00000,0.00000,0.00000,
0.35295,1,normal,0.00000,0.00000,0.00000,
0.35475,1,normal,0.00000,0.00000,0.00000,
0.35655,1,normal,0.00000,0.00000,0.00000,
0.35837,1,normal,0.00000,0.00000,0.00000,
0.36016,1,normal,0.00000,0.00000,0.00000,
0.36196,1,normal,0.00000,0.00000,0.00000,
0.36397,1,normal,0.00000,0.00000,0.00000,
0.36576,1,normal,0.00000,0.00000,0.00000,
0.36755,1,normal,0.00000,0.00000,0.00000,
0.36936,1,normal,0.00000,0.00000,0.00000,
0.37124,1,normal,0.00000,0.00000,0.00000,
0.37287,1,normal,0.00000,0.00000,0.00000,
0.37455,1,normal,0.00000,0.00000,0.00000,
0.37626,1,normal,0.00000,0.00000,0.00000,
0.37797,1,normal,0.00000,0.00000,0.00000,
0.37968,1,normal,0.00000,0.00000,0.00000,
0.38134,1,normal,0.00000,0.00000,0.00000,
0.38295,1,normal,0.00000,0.00000,0.00000,
0.38466,1,normal,0.00000,0.00000,0.00000,
0.38635,1,normal,0.00000,0.00000,0.00000,
0.38815,1,normal,0.00000,0.00000,0.00000,
0.39026,1,normal,0.00000,0.00000,0.00000,
0.39205,1,normal,0.00000,0.00000,0.00000,
0.39375,1,normal,0.00000,0.00000,0.00000,
0.39846,1,normal,0.00000,0.00000,0.00000,
0.40047,1,normal,0.00000,0.00000,0.00000,
0.40227,1,normal,0.00000,0.00000,0.00000,
0.40416,1,normal,0.00000,0.00000,0.00000,
0.40608,1,normal,0.00000,0.00000,0.00000,
0.40806,1,normal,0.00000,0.00000,0.00000,
0.41013,1,normal,0.00000,0.00000,0.00000,
0.41207,1,normal,0.00000,0.00000,0.00000,
0.41390,1,normal,0.00000,0.00000,0.00000,
0.41575,1,normal,0.00000,0.00000,0.00000,
0.41744,1,normal,0.00000,0.00000,0.00000,
0.41925,1,normal,0.00000,0.00000,0.00000,
0.42115,1,normal,0.00000,0.00000,0.00000,
0.42300,1,normal,0.00000,0.00000,0.00000,
0.42485,1,normal,0.00000,0.00000,0.00000,
0.42666,1,normal,0.00000,0.00000,0.00000,
0.42845,1,normal,0.00000,0.00000,0.00000,
0.43078,1,normal,0.00000,0.00000,0.00000,
0.43310,1,normal,0.00000,0.00000,0.00000,
0.43505,1,normal,0.00000,0.00000,0.00000,
0.43685,1,normal,0.00000,0.00000,0.00000,
0.43892,1,normal,0.00000,0.00000,0.00000,
0.44086,1,normal,0.00000,0.00000,0.00000,
0.44254,1,normal,0.00000,0.00000,0.00000,
