Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
11.05201,1,normal,0.00000,0.00000,0.00000,
11.05844,1,normal,0.00000,0.00000,0.00000,
11.06049,1,normal,0.00000,0.00000,0.00000,
11.06252,1,normal,0.00000,0.00000,0.00000,
11.06495,1,normal,0.00000,0.00000,0.00000,
11.06701,1,normal,0.00000,0.00000,0.00000,
11.06903,1,normal,0.00000,0.00000,0.00000,
11.07131,1,normal,0.00000,0.00000,0.00000,
11.07391,1,normal,0.00000,0.00000,0.00000,
11.07590,1,normal,0.00000,0.00000,0.00000,
11.07792,1,normal,0.00000,0.00000,0.00000,
11.07993,1,normal,0.00000,0.00000,0.00000,
11.08180,1,normal,0.00000,0.00000,0.00000,
11.08380,1,normal,0.00000,0.00000,0.00000,
11.08585,1,normal,0.00000,0.00000,0.00000,
11.08812,1,normal,0.00000,0.00000,0.00000,
11.09022,1,normal,0.00000,0.00000,0.00000,
11.09199,1,normal,0.00000,0.00000,0.00000,
11.09419,1,normal,0.00000,0.00000,0.00000,
11.09600,1,normal,0.00000,0.00000,0.00000,
11.09779,1,normal,0.00000,0.00000,0.00000,
11.09949,1,normal,0.00000,0.00000,0.00000,
11.10132,1,normal,0.00000,0.00000,0.00000,
11.10312,1,normal,0.00000,0.00000,0.00000,
11.10492,1,normal,0.00000,0.00000,0.00000,
11.10701,1,normal,0.00000,0.00000,0.00000,
11.10901,1,normal,0.00000,0.00000,0.00000,
11.11102,1,normal,0.00000,0.00000,0.00000,
11.11333,1,normal,0.00000,0.00000,0.00000,
11.11530,1,normal,0.00000,0.00000,0.00000,
11.11722,1,normal,0.00000,0.00000,0.00000,
11.11915,1,normal,0.00000,0.00000,0.00000,
11.12110,1,normal,0.00000,0.00000,0.00000,
11.12291,1,normal,0.00000,0.00000,0.00000,
11.12471,1,normal,0.00000,0.00000,0.00000,
11.12657,1,normal,0.00000,0.00000,0.00000,
11.12849,1,normal,0.00000,0.00000,0.00000,
11.13030,1,normal,0.00000,0.00000,0.00000,
11.13210,1,normal,0.00000,0.00000,0.00000,
11.13420,1,normal,0.00000,0.00000,0.00000,
11.13601,1,normal,0.00000,0.00000,0.00000,
11.13780,1,normal,0.00000,0.00000,0.00000,
11.13969,1,normal,0.00000,0.00000,0.00000,
11.14150,1,normal,0.00000,0.00000,0.00000,
11.14338,1,normal,0.00000,0.00000,0.00000,
11.14520,1,normal,0.00000,0.00000,0.00000,
11.14701,1,normal,0.00000,0.00000,0.00000,
11.14880,1,normal,0.00000,0.00000,0.00000,
11.15050,1,normal,0.00000,0.00000,0.00000,
11.15241,1,normal,0.00000,0.00000,0.00000,
11.15450,1,normal,0.00000,0.00000,0.00000,
11.15630,1,normal,0.00000,0.00000,0.00000,
11.15801,1,normal,0.00000,0.00000,0.00000,
11.15979,1,normal,0.00000,0.00000,0.00000,
11.16159,1,normal,0.00000,0.00000,0.00000,
11.16329,1,normal,0.00000,0.00000,0.00000,
11.16511,1,normal,0.00000,0.00000,0.00000,
11.16689,1,normal,0.00000,0.00000,0.00000,
11.16864,1,normal,0.00000,0.00000,0.00000,
11.17050,1,normal,0.00000,0.00000,0.00000,
11.17230,1,normal,0.00000,0.00000,0.00000,
11.17803,1,normal,0.00000,0.00000,0.00000,
11.18003,1,normal,0.00000,0.00000,0.00000,
11.18199,1,normal,0.00000,0.00000,0.00000,
11.18390,1,normal,0.00000,0.00000,0.00000,
11.18569,1,normal,0.00000,0.00000,0.00000,
11.18750,1,normal,0.00000,0.00000,0.00000,
11.18929,1,normal,0.00000,0.00000,0.00000,
11.19111,1,normal,0.00000,0.00000,0.00000,
11.19464,1,normal,0.00000,0.00000,0.00000,
11.19660,1,normal,0.00000,0.00000,0.00000,
11.19850,1,normal,0.00000,0.00000,0.00000,
11.20019,1,normal,0.00000,0.00000,0.00000,
11.20220,1,normal,0.00000,0.00000,0.00000,
11.20399,1,normal,0.00000,0.00000,0.00000,
11.20580,1,normal,0.00000,0.00000,0.00000,
11.20759,1,normal,0.00000,0.00000,0.00000,
11.20940,1,normal,0.00000,0.00000,0.00000,
11.21119,1,normal,0.00000,0.00000,0.00000,
11.21351,1,normal,0.00000,0.00000,0.00000,
11.21523,1,normal,0.00000,0.00000,0.00000,
11.21699,1,normal,0.00000,0.00000,0.00000,
11.21870,1,normal,0.00000,0.00000,0.00000,
11.22049,1,normal,0.00000,0.00000,0.00000,
11.22230,1,normal,0.00000,0.00000,0.00000,
11.22400,1,normal,0.00000,0.00000,0.00000,
11.22580,1,normal,0.00000,0.00000,0.00000,
11.22759,1,normal,0.00000,0.00000,0.00000,
11.23132,1,normal,0.00000,0.00000,0.00000,
11.23339,1,normal,0.00000,0.00000,0.00000,
11.23520,1,normal,0.00000,0.00000,0.00000,
11.23709,1,normal,0.00000,0.00000,0.00000,
11.23890,1,normal,0.00000,0.00000,0.00000,
11.24080,1,normal,0.00000,0.00000,0.00000,
11.24260,1,normal,0.00000,0.00000,0.00000,
11.24433,1,normal,0.00000,0.00000,0.00000,
11.24610,1,normal,0.00000,0.00000,0.00000,
11.24800,1,normal,0.00000,0.00000,0.00000,
11.24979,1,normal,0.00000,0.00000,0.00000,
11.25159,1,normal,0.00000,0.00000,0.00000,
11.25369,1,normal,0.00000,0.00000,0.00000,
11.25540,1,normal,0.00000,0.00000,0.00000,
11.25721,1,normal,0.00000,0.00000,0.00000,
11.25900,1,normal,0.00000,0.00000,0.00000,
11.26080,1,normal,0.00000,0.00000,0.00000,
11.26259,1,normal,0.00000,0.00000,0.00000,
11.26428,1,normal,0.00000,0.00000,0.00000,
11.26620,1,normal,0.00000,0.00000,0.00000,
11.26790,1,normal,0.00000,0.00000,0.00000,
11.26964,1,normal,0.00000,0.00000,0.00000,
11.27139,1,normal,0.00000,0.00000,0.00000,
11.27329,1,normal,0.00000,0.00000,0.00000,
11.27511,1,normal,0.00000,0.00000,0.00000,
11.27689,1,normal,0.00000,0.00000,0.00000,
11.27882,1,normal,0.00000,0.00000,0.00000,
11.28059,1,normal,0.00000,0.00000,0.00000,
11.28229,1,normal,0.00000,0.00000,0.00000,
11.28399,1,normal,0.00000,0.00000,0.00000,
11.28575,1,normal,0.00000,0.00000,0.00000,
11.28750,1,normal,0.00000,0.00000,0.00000,
11.28930,1,normal,0.00000,0.00000,0.00000,
11.29099,1,normal,0.00000,0.00000,0.00000,
11.29289,1,normal,0.00000,0.00000,0.00000,
11.29835,1,normal,0.00000,0.00000,0.00000,
11.30032,1,normal,0.00000,0.00000,0.00000,
11.30220,1,normal,0.00000,0.00000,0.00000,
11.30400,1,normal,0.00000,0.00000,0.00000,
11.30569,1,normal,0.00000,0.00000,0.00000,
11.30739,1,normal,0.00000,0.00000,0.00000,
11.30919,1,normal,0.00000,0.00000,0.00000,
11.31094,1,normal,0.00000,0.00000,0.00000,
11.31310,1,normal,0.00000,0.00000,0.00000,
11.31500,1,normal,0.00000,0.00000,0.00000,
11.31669,1,normal,0.00000,0.00000,0.00000,
11.31849,1,normal,0.00000,0.00000,0.00000,
11.32040,1,normal,0.00000,0.00000,0.00000,
11.32211,1,normal,0.00000,0.00000,0.00000,
11.32390,1,normal,0.00000,0.00000,0.00000,
11.32562,1,normal,0.00000,0.00000,0.00000,
11.32750,1,normal,0.00000,0.00000,0.00000,
11.32930,1,normal,0.00000,0.00000,0.00000,
11.33110,1,normal,0.00000,0.00000,0.00000,
11.33341,1,normal,0.00000,0.00000,0.00000,
11.33519,1,normal,0.00000,0.00000,0.00000,
11.33700,1,normal,0.00000,0.00000,0.00000,
11.33869,1,normal,0.00000,0.00000,0.00000,
