Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:YZ,Radius:0.35
5.06393,3,normal,0.00000,0.00000,0.00000,
5.06583,3,normal,0.00000,0.00000,0.00000,
5.06771,3,normal,0.00000,0.00000,0.00000,
5.06981,3,normal,0.00000,0.00000,0.00000,
5.07155,3,normal,0.00000,0.00000,0.00000,
5.07371,3,normal,0.00000,0.00000,0.00000,
5.07551,3,normal,0.00000,0.00000,0.00000,
5.07744,3,normal,0.00000,0.00000,0.00000,
5.07931,3,normal,0.00000,0.00000,0.00000,
5.08115,3,normal,0.00000,0.00000,0.00000,
5.08290,3,normal,0.00000,0.00000,0.00000,
5.08460,3,normal,0.00000,0.00000,0.00000,
5.08630,3,normal,0.00000,0.00000,0.00000,
5.08804,3,normal,0.00000,0.00000,0.00000,
5.09021,3,normal,0.00000,0.00000,0.00000,
5.09201,3,normal,0.00000,0.00000,0.00000,
5.09370,3,normal,0.00000,0.00000,0.00000,
5.09551,3,normal,0.00000,0.00000,0.00000,
5.09726,3,normal,0.00000,0.00000,0.00000,
5.09903,3,normal,0.00000,0.00000,0.00000,
5.10091,3,normal,0.00000,0.00000,0.00000,
5.10269,3,normal,0.00000,0.00000,0.00000,
5.10455,3,normal,0.00000,0.00000,0.00000,
5.10651,3,normal,0.00000,0.00000,0.00000,
5.10850,3,normal,0.00000,0.00000,0.00000,
5.11022,3,normal,0.00000,0.00000,0.00000,
5.11211,3,normal,0.00000,0.00000,0.00000,
5.11402,3,normal,0.00000,0.00000,0.00000,
5.11581,3,normal,0.00000,0.00000,0.00000,
5.11770,3,normal,0.00000,0.00000,0.00000,
5.12024,3,normal,0.00000,0.00000,0.00000,
5.12220,3,normal,0.00000,0.00000,0.00000,
5.12714,3,normal,0.00000,0.00000,0.00000,
5.12976,3,normal,0.00000,0.00000,0.00000,
5.13162,3,normal,0.00000,0.00000,0.00000,
5.13362,3,normal,0.00000,0.00000,0.00000,
5.13530,3,normal,0.00000,0.00000,0.00000,
5.13714,3,normal,0.00000,0.00000,0.00000,
5.13955,3,normal,0.00000,0.00000,0.00000,
5.14152,3,normal,0.00000,0.00000,0.00000,
5.14333,3,normal,0.00000,0.00000,0.00000,
5.14522,3,normal,0.00000,0.00000,0.00000,
5.14700,3,normal,0.00000,0.00000,0.00000,
5.14943,3,normal,0.00000,0.00000,0.00000,
5.15141,3,normal,0.00000,0.00000,0.00000,
5.15322,3,normal,0.00000,0.00000,0.00000,
5.15508,3,normal,0.00000,0.00000,0.00000,
5.15691,3,normal,0.00000,0.00000,0.00000,
5.15901,3,normal,0.00000,0.00000,0.00000,
5.16090,3,normal,0.00000,0.00000,0.00000,
5.16278,3,normal,0.00000,0.00000,0.00000,
5.16491,3,normal,0.00000,0.00000,0.00000,
5.16673,3,normal,0.00000,0.00000,0.00000,
5.16931,3,normal,0.00000,0.00000,0.00000,
5.17129,3,normal,0.00000,0.00000,0.00000,
5.17341,3,normal,0.00000,0.00000,0.00000,
5.17541,3,normal,0.00000,0.00000,0.00000,
5.17733,3,normal,0.00000,0.00000,0.00000,
5.17927,3,normal,0.00000,0.00000,0.00000,
5.18156,3,normal,0.00000,0.00000,0.00000,
5.18361,3,normal,0.00000,0.00000,0.00000,
5.18551,3,normal,0.00000,0.00000,0.00000,
5.18743,3,normal,0.00000,0.00000,0.00000,
5.18982,3,normal,0.00000,0.00000,0.00000,
5.19182,3,normal,0.00000,0.00000,0.00000,
5.19403,3,normal,0.00000,0.00000,0.00000,
5.19634,3,normal,0.00000,0.00000,0.00000,
5.19844,3,normal,0.00000,0.00000,0.00000,
5.20042,3,normal,0.00000,0.00000,0.00000,
5.20272,3,normal,0.00000,0.00000,0.00000,
5.20476,3,normal,0.00000,0.00000,0.00000,
5.20713,3,normal,0.00000,0.00000,0.00000,
5.20954,3,normal,0.00000,0.00000,0.00000,
5.21175,3,normal,0.00000,0.00000,0.00000,
5.21383,3,normal,0.00000,0.00000,0.00000,
5.21602,3,normal,0.00000,0.00000,0.00000,
5.21812,3,normal,0.00000,0.00000,0.00000,
5.22014,3,normal,0.00000,0.00000,0.00000,
5.22202,3,normal,0.00000,0.00000,0.00000,
5.22402,3,normal,0.00000,0.00000,0.00000,
5.22612,3,normal,0.00000,0.00000,0.00000,
5.22810,3,normal,0.00000,0.00000,0.00000,
5.23049,3,normal,0.00000,0.00000,0.00000,
5.23293,3,normal,0.00000,0.00000,0.00000,
5.23502,3,normal,0.00000,0.00000,0.00000,
5.23701,3,normal,0.00000,0.00000,0.00000,
5.23894,3,normal,0.00000,0.00000,0.00000,
5.24093,3,normal,0.00000,0.00000,0.00000,
5.24282,3,normal,0.00000,0.00000,0.00000,
5.24492,3,normal,0.00000,0.00000,0.00000,
5.24715,3,normal,0.00000,0.00000,0.00000,
5.25276,3,normal,0.00000,0.00000,0.00000,
5.25488,3,normal,0.00000,0.00000,0.00000,
5.25681,3,normal,0.00000,0.00000,0.00000,
5.25872,3,normal,0.00000,0.00000,0.00000,
5.26072,3,normal,0.00000,0.00000,0.00000,
5.26303,3,normal,0.00000,0.00000,0.00000,
5.26511,3,normal,0.00000,0.00000,0.00000,
5.26722,3,normal,0.00000,0.00000,0.00000,
5.26952,3,normal,0.00000,0.00000,0.00000,
5.27144,3,normal,0.00000,0.00000,0.00000,
5.27344,3,normal,0.00000,0.00000,0.00000,
5.27542,3,normal,0.00000,0.00000,0.00000,
5.27742,3,normal,0.00000,0.00000,0.00000,
5.27931,3,normal,0.00000,0.00000,0.00000,
5.28161,3,normal,0.00000,0.00000,0.00000,
5.28383,3,normal,0.00000,0.00000,0.00000,
5.28571,3,normal,0.00000,0.00000,0.00000,
5.28781,3,normal,0.00000,0.00000,0.00000,
5.29022,3,normal,0.00000,0.00000,0.00000,
5.29221,3,normal,0.00000,0.00000,0.00000,
5.29423,3,normal,0.00000,0.00000,0.00000,
5.29632,3,normal,0.00000,0.00000,0.00000,
5.29832,3,normal,0.00000,0.00000,0.00000,
5.30031,3,normal,0.00000,0.00000,0.00000,
5.30231,3,normal,0.00000,0.00000,0.00000,
5.30433,3,normal,0.00000,0.00000,0.00000,
5.30634,3,normal,0.00000,0.00000,0.00000,
5.30811,3,normal,0.00000,0.00000,0.00000,
5.31103,3,normal,0.00000,0.00000,0.00000,
5.31302,3,normal,0.00000,0.00000,0.00000,
5.31493,3,normal,0.00000,0.00000,0.00000,
5.31681,3,normal,0.00000,0.00000,0.00000,
5.31871,3,normal,0.00000,0.00000,0.00000,
5.32052,3,normal,0.00000,0.00000,0.00000,
5.32252,3,normal,0.00000,0.00000,0.00000,
5.32441,3,normal,0.00000,0.00000,0.00000,
5.32674,3,normal,0.00000,0.00000,0.00000,
5.32920,3,normal,0.00000,0.00000,0.00000,
5.33107,3,normal,0.00000,0.00000,0.00000,
5.33281,3,normal,0.00000,0.00000,0.00000,
5.33460,3,normal,0.00000,0.00000,0.00000,
5.33630,3,normal,0.00000,0.00000,0.00000,
5.33812,3,normal,0.00000,0.00000,0.00000,
5.33991,3,normal,0.00000,0.00000,0.00000,
5.34172,3,normal,0.00000,0.00000,0.00000,
5.34361,3,normal,0.00000,0.00000,0.00000,
5.34540,3,normal,0.00000,0.00000,0.00000,
5.34749,3,normal,0.00000,0.00000,0.00000,
5.34973,3,normal,0.00000,0.00000,0.00000,
5.35162,3,normal,0.00000,0.00000,0.00000,
5.35352,3,normal,0.00000,0.00000,0.00000,
5.35531,3,normal,0.00000,0.00000,0.00000,
5.35722,3,normal,0.00000,0.00000,0.00000,
5.35921,3,normal,0.00000,0.00000,0.00000,
5.36144,3,normal,0.00000,0.00000,0.00000,
5.36340,3,normal,0.00000,0.00000,0.00000,
5.36521,3,normal,0.00000,0.00000,0.00000,
5.36711,3,normal,0.00000,0.00000,0.00000,
5.36931,3,normal,0.00000,0.00000,0.00000,
5.37118,3,normal,0.00000,0.00000,0.00000,
5.37634,3,normal,0.00000,0.00000,0.00000,
5.37831,3,normal,0.00000,0.00000,0.00000,
5.38011,3,normal,0.00000,0.00000,0.00000,
5.38190,3,normal,0.00000,0.00000,0.00000,
5.38371,3,normal,0.00000,0.00000,0.00000,
5.38561,3,normal,0.00000,0.00000,0.00000,
5.38803,3,normal,0.00000,0.00000,0.00000,
5.39353,3,normal,0.00000,0.00000,0.00000,
5.39573,3,normal,0.00000,0.00000,0.00000,
5.39779,3,normal,0.00000,0.00000,0.00000,
5.40017,3,normal,0.00000,0.00000,0.00000,
5.40232,3,normal,0.00000,0.00000,0.00000,
5.40441,3,normal,0.00000,0.00000,0.00000,
5.40688,3,normal,0.00000,0.00000,0.00000,
5.40923,3,normal,0.00000,0.00000,0.00000,
5.41114,3,normal,0.00000,0.00000,0.00000,
5.41322,3,normal,0.00000,0.00000,0.00000,
5.41551,3,normal,0.00000,0.00000,0.00000,
5.41752,3,normal,0.00000,0.00000,0.00000,
