Right,ShoulderPos:(-0.01, 0.63, 0.02),Plane:XY,Radius:0.35
2.63500,3,normal,0.00000,0.00000,0.00000,
2.63669,3,normal,0.00000,0.00000,0.00000,
2.63910,3,normal,0.00000,0.00000,0.00000,
2.64099,3,normal,0.00000,0.00000,0.00000,
2.64285,3,normal,0.00000,0.00000,0.00000,
2.64458,3,normal,0.00000,0.00000,0.00000,
2.64630,3,normal,0.00000,0.00000,0.00000,
2.64799,3,normal,0.00000,0.00000,0.00000,
2.64978,3,normal,0.00000,0.00000,0.00000,
2.65149,3,normal,0.00000,0.00000,0.00000,
2.65318,3,normal,0.00000,0.00000,0.00000,
2.65489,3,normal,0.00000,0.00000,0.00000,
2.65660,3,normal,0.00000,0.00000,0.00000,
2.65879,3,normal,0.00000,0.00000,0.00000,
2.66049,3,normal,0.00000,0.00000,0.00000,
2.66227,3,normal,0.00000,0.00000,0.00000,
2.66398,3,normal,0.00000,0.00000,0.00000,
2.66568,3,normal,0.00000,0.00000,0.00000,
2.66740,3,normal,0.00000,0.00000,0.00000,
2.66908,3,normal,0.00000,0.00000,0.00000,
2.67078,3,normal,0.00000,0.00000,0.00000,
2.67248,3,normal,0.00000,0.00000,0.00000,
2.67429,3,normal,0.00000,0.00000,0.00000,
2.67599,3,normal,0.00000,0.00000,0.00000,
2.67793,3,normal,0.00000,0.00000,0.00000,
2.67959,3,normal,0.00000,0.00000,0.00000,
2.68129,3,normal,0.00000,0.00000,0.00000,
2.68298,3,normal,0.00000,0.00000,0.00000,
2.68469,3,normal,0.00000,0.00000,0.00000,
2.68638,3,normal,0.00000,0.00000,0.00000,
2.68809,3,normal,0.00000,0.00000,0.00000,
2.68979,3,normal,0.00000,0.00000,0.00000,
2.69149,3,normal,0.00000,0.00000,0.00000,
2.69319,3,normal,0.00000,0.00000,0.00000,
2.69488,3,normal,0.00000,0.00000,0.00000,
2.69659,3,normal,0.00000,0.00000,0.00000,
2.69861,3,normal,0.00000,0.00000,0.00000,
2.70028,3,normal,0.00000,0.00000,0.00000,
2.70198,3,normal,0.00000,0.00000,0.00000,
2.70368,3,normal,0.00000,0.00000,0.00000,
2.70538,3,normal,0.00000,0.00000,0.00000,
2.70709,3,normal,0.00000,0.00000,0.00000,
2.70880,3,normal,0.00000,0.00000,0.00000,
2.71038,3,normal,0.00000,0.00000,0.00000,
2.71211,3,normal,0.00000,0.00000,0.00000,
2.71378,3,normal,0.00000,0.00000,0.00000,
2.71549,3,normal,0.00000,0.00000,0.00000,
2.71739,3,normal,0.00000,0.00000,0.00000,
2.71911,3,normal,0.00000,0.00000,0.00000,
2.72472,3,normal,0.00000,0.00000,0.00000,
2.72660,3,normal,0.00000,0.00000,0.00000,
2.72838,3,normal,0.00000,0.00000,0.00000,
2.73021,3,normal,0.00000,0.00000,0.00000,
2.73198,3,normal,0.00000,0.00000,0.00000,
2.73368,3,normal,0.00000,0.00000,0.00000,
2.73539,3,normal,0.00000,0.00000,0.00000,
2.73728,3,normal,0.00000,0.00000,0.00000,
2.73899,3,normal,0.00000,0.00000,0.00000,
2.74070,3,normal,0.00000,0.00000,0.00000,
2.74239,3,normal,0.00000,0.00000,0.00000,
2.74408,3,normal,0.00000,0.00000,0.00000,
2.74578,3,normal,0.00000,0.00000,0.00000,
2.74748,3,normal,0.00000,0.00000,0.00000,
2.74920,3,normal,0.00000,0.00000,0.00000,
2.75089,3,normal,0.00000,0.00000,0.00000,
2.75268,3,normal,0.00000,0.00000,0.00000,
2.75439,3,normal,0.00000,0.00000,0.00000,
2.75609,3,normal,0.00000,0.00000,0.00000,
2.75799,3,normal,0.00000,0.00000,0.00000,
2.75969,3,normal,0.00000,0.00000,0.00000,
2.76140,3,normal,0.00000,0.00000,0.00000,
2.76308,3,normal,0.00000,0.00000,0.00000,
2.76478,3,normal,0.00000,0.00000,0.00000,
2.76649,3,normal,0.00000,0.00000,0.00000,
2.76828,3,normal,0.00000,0.00000,0.00000,
2.76998,3,normal,0.00000,0.00000,0.00000,
2.77170,3,normal,0.00000,0.00000,0.00000,
2.77338,3,normal,0.00000,0.00000,0.00000,
2.77509,3,normal,0.00000,0.00000,0.00000,
2.77709,3,normal,0.00000,0.00000,0.00000,
2.77878,3,normal,0.00000,0.00000,0.00000,
2.78047,3,normal,0.00000,0.00000,0.00000,
2.78210,3,normal,0.00000,0.00000,0.00000,
2.78379,3,normal,0.00000,0.00000,0.00000,
2.78548,3,normal,0.00000,0.00000,0.00000,
2.78713,3,normal,0.00000,0.00000,0.00000,
2.78889,3,normal,0.00000,0.00000,0.00000,
2.79059,3,normal,0.00000,0.00000,0.00000,
2.79230,3,normal,0.00000,0.00000,0.00000,
2.79398,3,normal,0.00000,0.00000,0.00000,
2.79562,3,normal,0.00000,0.00000,0.00000,
2.79758,3,normal,0.00000,0.00000,0.00000,
2.79929,3,normal,0.00000,0.00000,0.00000,
2.80098,3,normal,0.00000,0.00000,0.00000,
2.80269,3,normal,0.00000,0.00000,0.00000,
2.80439,3,normal,0.00000,0.00000,0.00000,
2.80598,3,normal,0.00000,0.00000,0.00000,
2.80768,3,normal,0.00000,0.00000,0.00000,
2.80939,3,normal,0.00000,0.00000,0.00000,
2.81107,3,normal,0.00000,0.00000,0.00000,
2.81280,3,normal,0.00000,0.00000,0.00000,
2.81447,3,normal,0.00000,0.00000,0.00000,
2.81608,3,normal,0.00000,0.00000,0.00000,
2.81797,3,normal,0.00000,0.00000,0.00000,
2.81963,3,normal,0.00000,0.00000,0.00000,
2.82128,3,normal,0.00000,0.00000,0.00000,
2.82301,3,normal,0.00000,0.00000,0.00000,
2.82468,3,normal,0.00000,0.00000,0.00000,
2.82628,3,normal,0.00000,0.00000,0.00000,
2.82793,3,normal,0.00000,0.00000,0.00000,
2.82959,3,normal,0.00000,0.00000,0.00000,
2.83773,3,normal,0.00000,0.00000,0.00000,
2.84293,3,normal,0.00000,0.00000,0.00000,
2.84503,3,normal,0.00000,0.00000,0.00000,
2.84688,3,normal,0.00000,0.00000,0.00000,
2.84859,3,normal,0.00000,0.00000,0.00000,
2.85029,3,normal,0.00000,0.00000,0.00000,
2.85197,3,normal,0.00000,0.00000,0.00000,
2.85371,3,normal,0.00000,0.00000,0.00000,
2.85551,3,normal,0.00000,0.00000,0.00000,
2.85759,3,normal,0.00000,0.00000,0.00000,
2.85938,3,normal,0.00000,0.00000,0.00000,
2.86108,3,normal,0.00000,0.00000,0.00000,
2.86280,3,normal,0.00000,0.00000,0.00000,
2.86459,3,normal,0.00000,0.00000,0.00000,
2.86640,3,normal,0.00000,0.00000,0.00000,
2.86808,3,normal,0.00000,0.00000,0.00000,
2.86978,3,normal,0.00000,0.00000,0.00000,
2.87147,3,normal,0.00000,0.00000,0.00000,
2.87307,3,normal,0.00000,0.00000,0.00000,
2.87483,3,normal,0.00000,0.00000,0.00000,
2.87650,3,normal,0.00000,0.00000,0.00000,
2.87838,3,normal,0.00000,0.00000,0.00000,
2.88008,3,normal,0.00000,0.00000,0.00000,
2.88178,3,normal,0.00000,0.00000,0.00000,
2.88349,3,normal,0.00000,0.00000,0.00000,
2.88508,3,normal,0.00000,0.00000,0.00000,
2.88681,3,normal,0.00000,0.00000,0.00000,
2.88859,3,normal,0.00000,0.00000,0.00000,
2.89027,3,normal,0.00000,0.00000,0.00000,
2.89199,3,normal,0.00000,0.00000,0.00000,
2.89368,3,normal,0.00000,0.00000,0.00000,
2.89538,3,normal,0.00000,0.00000,0.00000,
2.89732,3,normal,0.00000,0.00000,0.00000,
2.89899,3,normal,0.00000,0.00000,0.00000,
2.90070,3,normal,0.00000,0.00000,0.00000,
2.90238,3,normal,0.00000,0.00000,0.00000,
2.90402,3,normal,0.00000,0.00000,0.00000,
2.90579,3,normal,0.00000,0.00000,0.00000,
2.90750,3,normal,0.00000,0.00000,0.00000,
2.90919,3,normal,0.00000,0.00000,0.00000,
2.91084,3,normal,0.00000,0.00000,0.00000,
2.91248,3,normal,0.00000,0.00000,0.00000,
2.91418,3,normal,0.00000,0.00000,0.00000,
2.91588,3,normal,0.00000,0.00000,0.00000,
2.91810,3,normal,0.00000,0.00000,0.00000,
2.91979,3,normal,0.00000,0.00000,0.00000,
2.92148,3,normal,0.00000,0.00000,0.00000,
2.92308,3,normal,0.00000,0.00000,0.00000,
2.92468,3,normal,0.00000,0.00000,0.00000,
2.92638,3,normal,0.00000,0.00000,0.00000,
2.92803,3,normal,0.00000,0.00000,0.00000,
2.92993,3,normal,0.00000,0.00000,0.00000,
2.93168,3,normal,0.00000,0.00000,0.00000,
2.93339,3,normal,0.00000,0.00000,0.00000,
2.93508,3,normal,0.00000,0.00000,0.00000,
