Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.00000,3,normal,0.00000,0.00000,0.00000,
0.00488,3,normal,0.00000,0.00000,0.00000,
0.00955,3,normal,0.00000,0.00000,0.00000,
0.01406,3,normal,0.00000,0.00000,0.00000,
0.01827,3,normal,0.00000,0.00000,0.00000,
0.02237,3,normal,0.00000,0.00000,0.00000,
0.02616,3,normal,0.00000,0.00000,0.00000,
0.02996,3,normal,0.00000,0.00000,0.00000,
0.03444,3,normal,0.00000,0.00000,0.00000,
0.03846,3,normal,0.00000,0.00000,0.00000,
0.04237,3,normal,0.00000,0.00000,0.00000,
0.04619,3,normal,0.00000,0.00000,0.00000,
0.05169,3,normal,0.00000,0.00000,0.00000,
0.05597,3,normal,0.00000,0.00000,0.00000,
0.06003,3,normal,0.00000,0.00000,0.00000,
0.06385,3,normal,0.00000,0.00000,0.00000,
0.06782,3,normal,0.00000,0.00000,0.00000,
0.08138,3,normal,0.00000,0.00000,0.00000,
0.08561,3,normal,0.00000,0.00000,0.00000,
0.08948,3,normal,0.00000,0.00000,0.00000,
0.09396,3,normal,0.00000,0.00000,0.00000,
0.09839,3,normal,0.00000,0.00000,0.00000,
0.10234,3,normal,0.00000,0.00000,0.00000,
0.10650,3,normal,0.00000,0.00000,0.00000,
0.11103,3,normal,0.00000,0.00000,0.00000,
0.11971,3,normal,0.00000,0.00000,0.00000,
0.12447,3,normal,0.00000,0.00000,0.00000,
0.12806,3,normal,0.00000,0.00000,0.00000,
0.13217,3,normal,0.00000,0.00000,0.00000,
0.13586,3,normal,0.00000,0.00000,0.00000,
0.13971,3,normal,0.00000,0.00000,0.00000,
0.14337,3,normal,0.00000,0.00000,0.00000,
0.15157,3,normal,0.00000,0.00000,0.00000,
0.15587,3,normal,0.00000,0.00000,0.00000,
0.15955,3,normal,0.00000,0.00000,0.00000,
0.16327,3,normal,0.00000,0.00000,0.00000,
0.16699,3,normal,0.00000,0.00000,0.00000,
0.17117,3,normal,0.00000,0.00000,0.00000,
0.17484,3,normal,0.00000,0.00000,0.00000,
0.17846,3,normal,0.00000,0.00000,0.00000,
0.18461,3,normal,0.00000,0.00000,0.00000,
0.18823,3,normal,0.00000,0.00000,0.00000,
0.19227,3,normal,0.00000,0.00000,0.00000,
0.19606,3,normal,0.00000,0.00000,0.00000,
0.19999,3,normal,0.00000,0.00000,0.00000,
0.20368,3,normal,0.00000,0.00000,0.00000,
0.20750,3,normal,0.00000,0.00000,0.00000,
0.21184,3,normal,0.00000,0.00000,0.00000,
0.21790,3,normal,0.00000,0.00000,0.00000,
0.22176,3,normal,0.00000,0.00000,0.00000,
