Left,ShoulderPos:(-0.02, 0.14, -0.44),Plane:XZ,Radius:0.25
1.05801,1,fast,0.00690,0.00313,0.00267,
1.06609,1,fast,0.00700,0.00326,0.00263,
1.07492,1,fast,0.00701,0.00326,0.00263,
1.08218,1,fast,0.00701,0.00326,0.00263,
1.09091,1,fast,0.00707,0.00340,0.00257,
1.09952,1,fast,0.00708,0.00341,0.00257,
1.10732,1,fast,0.00718,0.00344,0.00267,
1.11519,1,fast,0.00719,0.00344,0.00268,
1.12946,1,fast,0.00732,0.00366,0.00261,
1.13680,1,fast,0.00733,0.00368,0.00261,
1.14522,1,fast,0.00733,0.00368,0.00261,
1.15253,1,fast,0.00746,0.00375,0.00254,
1.16077,1,fast,0.00748,0.00376,0.00254,
1.16899,1,fast,0.00772,0.00379,0.00269,
1.17624,1,fast,0.00771,0.00378,0.00271,
1.18428,1,fast,0.00771,0.00378,0.00271,
1.19240,1,fast,0.00806,0.00402,0.00261,
1.19992,1,fast,0.00808,0.00403,0.00261,
1.20770,1,fast,0.00820,0.00415,0.00254,
1.21483,1,fast,0.00822,0.00416,0.00253,
1.22214,1,fast,0.00822,0.00416,0.00253,
1.22986,1,fast,0.00826,0.00416,0.00256,
1.23734,1,fast,0.00822,0.00417,0.00256,
1.24435,1,fast,0.00821,0.00417,0.00256,
1.25105,1,fast,0.00835,0.00408,0.00257,
1.25813,1,fast,0.00836,0.00408,0.00257,
1.26595,1,fast,0.00840,0.00397,0.00259,
1.27336,1,fast,0.00840,0.00396,0.00259,
1.28163,1,fast,0.00840,0.00396,0.00259,
1.28969,1,fast,0.00834,0.00400,0.00267,
1.29721,1,fast,0.00832,0.00400,0.00268,
1.30486,1,fast,0.00831,0.00400,0.00268,
1.31267,1,fast,0.00838,0.00383,0.00272,
1.32013,1,fast,0.00838,0.00382,0.00272,
1.32781,1,fast,0.00838,0.00382,0.00272,
1.33548,1,fast,0.00838,0.00382,0.00272,
1.34337,1,fast,0.00838,0.00382,0.00272,
1.35083,1,fast,0.00831,0.00378,0.00262,
1.35812,1,fast,0.00828,0.00380,0.00261,
1.36609,1,fast,0.00829,0.00379,0.00261,
1.37462,1,fast,0.00829,0.00379,0.00261,
1.38272,1,fast,0.00829,0.00379,0.00261,
1.39078,1,fast,0.00828,0.00386,0.00259,
1.39790,1,fast,0.00828,0.00387,0.00259,
1.40590,1,fast,0.00842,0.00378,0.00245,
1.41377,1,fast,0.00844,0.00378,0.00243,
1.42111,1,fast,0.00844,0.00378,0.00243,
1.42876,1,fast,0.00842,0.00359,0.00248,
1.43538,1,fast,0.00842,0.00357,0.00248,
1.44313,1,fast,0.00842,0.00357,0.00248,
1.45041,1,fast,0.00840,0.00360,0.00248,
1.45792,1,fast,0.00840,0.00360,0.00248,
1.46497,1,fast,0.00840,0.00360,0.00248,
1.47246,1,fast,0.00850,0.00343,0.00217,
1.47917,1,fast,0.00851,0.00345,0.00213,
1.48622,1,fast,0.00856,0.00312,0.00221,
1.49397,1,fast,0.00856,0.00310,0.00221,
1.50215,1,fast,0.00856,0.00310,0.00221,
1.50925,1,fast,0.00853,0.00298,0.00194,
1.51695,1,fast,0.00854,0.00299,0.00191,
1.52464,1,fast,0.00854,0.00299,0.00190,
1.53194,1,fast,0.00848,0.00267,0.00199,
1.53984,1,fast,0.00847,0.00265,0.00200,
1.54712,1,fast,0.00842,0.00259,0.00203,
1.55449,1,fast,0.00841,0.00258,0.00204,
1.56213,1,fast,0.00841,0.00258,0.00204,
1.57011,1,fast,0.00853,0.00251,0.00192,
1.57692,1,fast,0.00855,0.00251,0.00191,
1.58440,1,fast,0.00855,0.00251,0.00191,
1.59187,1,fast,0.00836,0.00244,0.00195,
1.60503,1,fast,0.00831,0.00250,0.00194,
1.61360,1,fast,0.00830,0.00251,0.00194,
1.62074,1,fast,0.00830,0.00251,0.00194,
1.62749,1,fast,0.00811,0.00249,0.00198,
1.63448,1,fast,0.00810,0.00249,0.00198,
1.64165,1,fast,0.00810,0.00249,0.00198,
1.64882,1,fast,0.00831,0.00236,0.00181,
1.65640,1,fast,0.00833,0.00236,0.00179,
1.66351,1,fast,0.00833,0.00236,0.00179,
1.67062,1,fast,0.00861,0.00219,0.00153,
1.67813,1,fast,0.00862,0.00220,0.00150,
1.68601,1,fast,0.00863,0.00220,0.00150,
1.69283,1,fast,0.00870,0.00211,0.00139,
1.70044,1,fast,0.00871,0.00212,0.00138,
1.70833,1,fast,0.00865,0.00211,0.00139,
1.71516,1,fast,0.00864,0.00211,0.00139,
1.72253,1,fast,0.00864,0.00211,0.00139,
1.72998,1,fast,0.00854,0.00207,0.00142,
1.73755,1,fast,0.00853,0.00207,0.00142,
1.74547,1,fast,0.00853,0.00207,0.00142,
1.75238,1,fast,0.00870,0.00196,0.00116,
1.76163,1,fast,0.00873,0.00198,0.00112,
1.76929,1,fast,0.00872,0.00201,0.00112,
1.77602,1,fast,0.00872,0.00201,0.00112,
1.78386,1,fast,0.00872,0.00201,0.00112,
1.79257,1,fast,0.00866,0.00191,0.00086,
1.79958,1,fast,0.00866,0.00192,0.00082,
1.80736,1,fast,0.00868,0.00187,0.00075,
1.81451,1,fast,0.00869,0.00187,0.00075,
1.82234,1,fast,0.00869,0.00188,0.00074,
1.82921,1,fast,0.00856,0.00177,0.00080,
1.83673,1,fast,0.00855,0.00177,0.00080,
1.84473,1,fast,0.00855,0.00177,0.00080,
1.85169,1,fast,0.00842,0.00177,0.00071,
1.85886,1,fast,0.00841,0.00178,0.00070,
1.86676,1,fast,0.00864,0.00140,-0.00013,
1.87340,1,fast,0.00870,0.00144,-0.00024,
1.88080,1,fast,0.00871,0.00145,-0.00025,
1.88927,1,fast,0.00847,0.00133,-0.00086,
1.89775,1,fast,0.00849,0.00138,-0.00095,
1.90549,1,fast,0.00857,0.00086,-0.00163,
1.91316,1,fast,0.00863,0.00088,-0.00172,
1.92110,1,fast,0.00864,0.00089,-0.00173,
1.92879,1,fast,0.00841,-0.00021,-0.00341,
1.93643,1,fast,0.00851,-0.00015,-0.00364,
1.94405,1,fast,0.00853,-0.00013,-0.00367,
1.95096,1,fast,0.00796,-0.00025,-0.00413,
1.95828,1,fast,0.00796,-0.00020,-0.00420,
1.96574,1,fast,0.00770,-0.00099,-0.00552,
1.97368,1,fast,0.00780,-0.00094,-0.00570,
1.98132,1,fast,0.00782,-0.00093,-0.00572,
1.98848,1,fast,0.00754,-0.00120,-0.00650,
1.99605,1,fast,0.00759,-0.00116,-0.00660,
2.00356,1,fast,0.00760,-0.00115,-0.00662,
2.01102,1,fast,0.00696,-0.00269,-0.00995,
2.01767,1,fast,0.00712,-0.00252,-0.01040,
2.02475,1,fast,0.00715,-0.00248,-0.01045,
2.03151,1,fast,0.00616,-0.00473,-0.01275,
2.03893,1,fast,0.00624,-0.00465,-0.01308,
2.04649,1,fast,0.00591,-0.00667,-0.01590,
2.05356,1,fast,0.00606,-0.00656,-0.01629,
2.06209,1,fast,0.00547,-0.00982,-0.01905,
2.07486,1,fast,0.00560,-0.00977,-0.01945,
2.08212,1,fast,0.00562,-0.00974,-0.01950,
2.08868,1,fast,0.00514,-0.01142,-0.02293,
2.09625,1,fast,0.00532,-0.01126,-0.02339,
2.10381,1,fast,0.00536,-0.01122,-0.02345,
2.11173,1,fast,0.00468,-0.01467,-0.02958,
2.11951,1,fast,0.00501,-0.01443,-0.03040,
2.12750,1,fast,0.00507,-0.01437,-0.03049,
2.13496,1,fast,0.00507,-0.01436,-0.03050,
2.14240,1,fast,0.00507,-0.01436,-0.03051,
2.14951,1,fast,0.00503,-0.01428,-0.03051,
2.15709,1,fast,0.00502,-0.01427,-0.03051,
2.16422,1,fast,0.00502,-0.01427,-0.03051,
2.17099,1,fast,0.00476,-0.01575,-0.03274,
2.17795,1,fast,0.00487,-0.01567,-0.03305,
2.18555,1,fast,0.00489,-0.01565,-0.03308,
2.19270,1,fast,0.00446,-0.01475,-0.03311,
2.19968,1,fast,0.00442,-0.01466,-0.03311,
2.20653,1,fast,0.00199,-0.02370,-0.04594,
2.21378,1,fast,0.00251,-0.02328,-0.04768,
2.22098,1,fast,0.00261,-0.02314,-0.04788,
2.22839,1,fast,0.00269,-0.02280,-0.04800,
2.23549,1,fast,0.00270,-0.02279,-0.04801,
2.24310,1,fast,0.00270,-0.02279,-0.04801,
2.25029,1,fast,0.00021,-0.03086,-0.05821,
2.25740,1,fast,0.00069,-0.03059,-0.05961,
2.26547,1,fast,0.00079,-0.03048,-0.05978,
2.27269,1,fast,-0.00517,-0.02824,-0.07965,
2.28032,1,fast,-0.00455,-0.02683,-0.08200,
2.28761,1,fast,-0.00650,-0.01997,-0.08654,
2.29489,1,fast,-0.00645,-0.01927,-0.08702,
2.30251,1,fast,-0.00642,-0.01921,-0.08706,
2.31078,1,fast,-0.00896,-0.02218,-0.09226,
2.31836,1,fast,-0.00873,-0.02189,-0.09294,
2.32715,1,fast,-0.00923,-0.01926,-0.09335,
2.33495,1,fast,-0.00927,-0.01907,-0.09338,
2.34213,1,fast,-0.00927,-0.01905,-0.09338,
2.34966,1,fast,-0.01004,-0.01228,-0.09435,
2.35669,1,fast,-0.01008,-0.01190,-0.09441,
2.36385,1,fast,-0.01008,-0.01189,-0.09441,
2.37129,1,fast,-0.01777,-0.02502,-0.10755,
2.38011,1,fast,-0.01692,-0.02485,-0.10924,
2.38814,1,fast,-0.02116,-0.02637,-0.11626,
2.39505,1,fast,-0.02059,-0.02597,-0.11713,
2.40294,1,fast,-0.02046,-0.02589,-0.11722,
2.41013,1,fast,-0.02137,-0.02607,-0.12223,
2.41728,1,fast,-0.02093,-0.02570,-0.12281,
2.42474,1,fast,-0.02086,-0.02564,-0.12286,
2.43214,1,fast,-0.02243,-0.02808,-0.12719,
2.43961,1,fast,-0.02215,-0.02785,-0.12770,
2.44739,1,fast,-0.02284,-0.02883,-0.12964,
2.45430,1,fast,-0.02274,-0.02870,-0.12987,
2.46141,1,fast,-0.02272,-0.02867,-0.12989,
2.46881,1,fast,-0.02563,-0.03253,-0.13448,
2.47676,1,fast,-0.02543,-0.03230,-0.13503,
2.48390,1,fast,-0.02538,-0.03224,-0.13508,
2.49083,1,fast,-0.02507,-0.03074,-0.13698,
2.49747,1,fast,-0.02491,-0.03047,-0.13717,
2.50566,1,fast,-0.02489,-0.03044,-0.13718,
2.51236,1,fast,-0.02811,-0.03472,-0.14160,
2.51929,1,fast,-0.02791,-0.03450,-0.14210,
2.52718,1,fast,-0.02857,-0.03410,-0.14373,
2.53452,1,fast,-0.02842,-0.03391,-0.14390,
2.54770,1,fast,-0.03155,-0.03938,-0.14765,
2.55476,1,fast,-0.03127,-0.03928,-0.14809,
2.56203,1,fast,-0.03120,-0.03922,-0.14813,
2.56920,1,fast,-0.03037,-0.03837,-0.14953,
2.57634,1,fast,-0.03015,-0.03818,-0.14966,
2.58331,1,fast,-0.03012,-0.03815,-0.14967,
2.59000,1,fast,-0.03240,-0.04478,-0.15269,
2.59708,1,fast,-0.03219,-0.04482,-0.15304,
2.60426,1,fast,-0.03214,-0.04477,-0.15307,
2.61223,1,fast,-0.03202,-0.04479,-0.15311,
2.62006,1,fast,-0.03201,-0.04480,-0.15311,
2.62804,1,fast,-0.03145,-0.04387,-0.15318,
2.63521,1,fast,-0.03141,-0.04381,-0.15318,
2.64220,1,fast,-0.03141,-0.04381,-0.15318,
2.65007,1,fast,-0.03135,-0.04358,-0.15322,
2.65691,1,fast,-0.03135,-0.04356,-0.15323,
2.66457,1,fast,-0.03135,-0.04356,-0.15323,
2.67148,1,fast,-0.03135,-0.04356,-0.15323,
2.67835,1,fast,-0.03135,-0.04356,-0.15323,
2.68596,1,fast,-0.03135,-0.04356,-0.15323,
2.69281,1,fast,-0.02745,-0.03899,-0.15358,
2.69972,1,fast,-0.02717,-0.03876,-0.15354,
2.70746,1,fast,-0.02684,-0.03508,-0.15396,
2.71416,1,fast,-0.02680,-0.03471,-0.15400,
2.72144,1,fast,-0.02680,-0.03468,-0.15400,
2.72920,1,fast,-0.02962,-0.05607,-0.16235,
2.73628,1,fast,-0.02905,-0.05622,-0.16318,
2.74362,1,fast,-0.02894,-0.05608,-0.16326,
2.75055,1,fast,-0.02079,-0.04952,-0.16363,
2.75786,1,fast,-0.02022,-0.04918,-0.16354,
2.76550,1,fast,-0.01873,-0.04868,-0.16405,
2.77325,1,fast,-0.01858,-0.04863,-0.16410,
2.78066,1,fast,-0.01856,-0.04863,-0.16411,
2.78781,1,fast,-0.01958,-0.05944,-0.16758,
2.79480,1,fast,-0.01941,-0.05949,-0.16789,
2.80199,1,fast,-0.01938,-0.05942,-0.16792,
2.80896,1,fast,-0.01404,-0.05659,-0.16798,
2.81635,1,fast,-0.01368,-0.05646,-0.16792,
2.82387,1,fast,-0.01366,-0.05646,-0.16790,
2.83055,1,fast,-0.01240,-0.05393,-0.16843,
2.83788,1,fast,-0.01228,-0.05368,-0.16848,
2.84532,1,fast,-0.01227,-0.05366,-0.16848,
2.85240,1,fast,-0.01228,-0.06595,-0.17189,
2.86032,1,fast,-0.01209,-0.06602,-0.17217,
2.86812,1,fast,-0.00472,-0.06597,-0.17221,
2.87529,1,fast,-0.00422,-0.06605,-0.17213,
2.88394,1,fast,-0.00419,-0.06607,-0.17211,
2.89192,1,fast,-0.00233,-0.06670,-0.17266,
2.89977,1,fast,-0.00214,-0.06676,-0.17271,
2.90755,1,fast,-0.00128,-0.07654,-0.17500,
2.91463,1,fast,-0.00115,-0.07659,-0.17518,
2.92204,1,fast,-0.00113,-0.07653,-0.17520,
2.92877,1,fast,0.00293,-0.07760,-0.17515,
2.93616,1,fast,0.00319,-0.07766,-0.17510,
2.94347,1,fast,0.00320,-0.07766,-0.17509,
2.95038,1,fast,0.00496,-0.08043,-0.17545,
2.95728,1,fast,0.00513,-0.08071,-0.17548,
2.96414,1,fast,0.00515,-0.08074,-0.17548,
2.97083,1,fast,0.00539,-0.08706,-0.17675,
2.97771,1,fast,0.00541,-0.08709,-0.17686,
2.98512,1,fast,0.00541,-0.08705,-0.17687,
2.99226,1,fast,0.00988,-0.09040,-0.17698,
2.99927,1,fast,0.01022,-0.09068,-0.17696,
3.01384,1,fast,0.01024,-0.09070,-0.17696,
3.02507,1,fast,0.00964,-0.09584,-0.17787,
3.03639,1,fast,0.00966,-0.09587,-0.17794,
3.04372,1,fast,0.00967,-0.09584,-0.17795,
3.05089,1,fast,0.00923,-0.10084,-0.17783,
3.05902,1,fast,0.00920,-0.10122,-0.17783,
3.06598,1,fast,0.00920,-0.10124,-0.17784,
3.07303,1,fast,0.00920,-0.10124,-0.17784,
3.08054,1,fast,0.00920,-0.10124,-0.17784,
3.08841,1,fast,0.00616,-0.10692,-0.17838,
3.09511,1,fast,0.00608,-0.10716,-0.17846,
3.10291,1,fast,0.00608,-0.10715,-0.17846,
3.10971,1,fast,0.00525,-0.10867,-0.17807,
3.11711,1,fast,0.00517,-0.10882,-0.17803,
3.12477,1,fast,0.00516,-0.10884,-0.17802,
3.13222,1,fast,0.00438,-0.10969,-0.17815,
3.14026,1,fast,0.00442,-0.10969,-0.17815,
3.14763,1,fast,0.00168,-0.11181,-0.17822,
3.15456,1,fast,0.00148,-0.11192,-0.17826,
3.16193,1,fast,0.00147,-0.11192,-0.17827,
3.16979,1,fast,0.00150,-0.11546,-0.17778,
3.17668,1,fast,0.00151,-0.11582,-0.17773,
3.18390,1,fast,0.00151,-0.11585,-0.17772,
3.19116,1,fast,-0.00095,-0.11748,-0.17792,
3.19817,1,fast,-0.00096,-0.11749,-0.17794,
3.20557,1,fast,-0.00094,-0.11748,-0.17793,
3.21266,1,fast,-0.00287,-0.11803,-0.17796,
3.22000,1,fast,-0.00300,-0.11806,-0.17799,
3.22832,1,fast,-0.00345,-0.11814,-0.17785,
3.23627,1,fast,-0.00349,-0.11815,-0.17784,
3.24377,1,fast,-0.00350,-0.11815,-0.17784,
3.25073,1,fast,-0.00471,-0.11916,-0.17795,
3.25765,1,fast,-0.00471,-0.11917,-0.17796,
3.26610,1,fast,-0.00662,-0.11879,-0.17799,
3.27344,1,fast,-0.00674,-0.11876,-0.17801,
3.28212,1,fast,-0.00675,-0.11876,-0.17801,
3.28931,1,fast,-0.01020,-0.11773,-0.17751,
3.29799,1,fast,-0.01026,-0.11773,-0.17746,
3.30598,1,fast,-0.01025,-0.11773,-0.17745,
3.31340,1,fast,-0.01025,-0.11773,-0.17745,
3.32039,1,fast,-0.01025,-0.11773,-0.17745,
3.32709,1,fast,-0.01717,-0.11382,-0.17709,
3.33562,1,fast,-0.01768,-0.11353,-0.17709,
3.34384,1,fast,-0.01771,-0.11351,-0.17709,
3.35204,1,fast,-0.02121,-0.10933,-0.17629,
3.35944,1,fast,-0.02117,-0.10929,-0.17621,
3.36697,1,fast,-0.02586,-0.10629,-0.17610,
3.37405,1,fast,-0.02616,-0.10611,-0.17612,
3.38280,1,fast,-0.02617,-0.10610,-0.17613,
3.39179,1,fast,-0.03613,-0.08886,-0.17349,
3.39990,1,fast,-0.03671,-0.08820,-0.17327,
3.40770,1,fast,-0.03783,-0.08582,-0.17310,
3.41492,1,fast,-0.03791,-0.08566,-0.17309,
3.42233,1,fast,-0.03791,-0.08565,-0.17309,
3.42964,1,fast,-0.03980,-0.07783,-0.17165,
3.43712,1,fast,-0.03996,-0.07760,-0.17152,
3.44453,1,fast,-0.04090,-0.07303,-0.17102,
3.45299,1,fast,-0.04095,-0.07280,-0.17098,
3.46466,1,fast,-0.04095,-0.07279,-0.17097,
3.47247,1,fast,-0.04187,-0.06598,-0.17019,
3.47965,1,fast,-0.04191,-0.06565,-0.17012,
3.48758,1,fast,-0.04103,-0.05912,-0.16926,
3.49554,1,fast,-0.04105,-0.05885,-0.16918,
3.50317,1,fast,-0.04106,-0.05885,-0.16917,
3.51045,1,fast,-0.04205,-0.05009,-0.16790,
3.51723,1,fast,-0.04211,-0.04966,-0.16779,
3.52496,1,fast,-0.04211,-0.04966,-0.16778,
3.53290,1,fast,-0.04061,-0.04327,-0.16668,
3.54015,1,fast,-0.04064,-0.04305,-0.16659,
3.54813,1,fast,-0.04069,-0.03744,-0.16565,
3.55559,1,fast,-0.04067,-0.03722,-0.16557,
3.56297,1,fast,-0.04067,-0.03722,-0.16557,
3.56990,1,fast,-0.04020,-0.03446,-0.16502,
3.57686,1,fast,-0.04015,-0.03437,-0.16497,
3.58423,1,fast,-0.04014,-0.03437,-0.16496,
3.59143,1,fast,-0.03846,-0.03245,-0.16452,
3.59830,1,fast,-0.03844,-0.03240,-0.16447,
3.60603,1,fast,-0.03845,-0.03240,-0.16447,
3.61279,1,fast,-0.03833,-0.03157,-0.16357,
3.62027,1,fast,-0.03838,-0.03169,-0.16350,
3.62752,1,fast,-0.03661,-0.03258,-0.16341,
3.63458,1,fast,-0.03664,-0.03267,-0.16339,
3.64214,1,fast,-0.03665,-0.03268,-0.16339,
3.64970,1,fast,-0.03687,-0.03345,-0.16343,
3.65726,1,fast,-0.03693,-0.03347,-0.16343,
3.66522,1,fast,-0.03694,-0.03347,-0.16343,
3.67238,1,fast,-0.03736,-0.03352,-0.16350,
3.68060,1,fast,-0.03739,-0.03350,-0.16351,
3.68782,1,fast,-0.03777,-0.03361,-0.16356,
