Left,ShoulderPos:(0.01, 0.63, 0.02),Plane:XZ,Radius:0.35
0.00000,1,normal,0.00000,0.00000,0.00000,
0.01064,1,normal,0.00000,0.00000,0.00000,
0.02135,1,normal,0.00000,0.00000,0.00000,
0.02973,1,normal,0.00000,0.00000,0.00000,
0.03588,1,normal,0.00000,0.00000,0.00000,
0.04173,1,normal,0.00000,0.00000,0.00000,
0.05798,1,normal,0.00000,0.00000,0.00000,
0.07094,1,normal,0.00000,0.00000,0.00000,
0.08531,1,normal,0.00000,0.00000,0.00000,
0.09947,1,normal,0.00000,0.00000,0.00000,
0.10414,1,normal,0.00000,0.00000,0.00000,
0.11112,1,normal,0.00000,0.00000,0.00000,
0.11563,1,normal,0.00000,0.00000,0.00000,
0.12004,1,normal,0.00000,0.00000,0.00000,
0.12444,1,normal,0.00000,0.00000,0.00000,
0.12912,1,normal,0.00000,0.00000,0.00000,
0.13354,1,normal,0.00000,0.00000,0.00000,
0.13786,1,normal,0.00000,0.00000,0.00000,
0.14220,1,normal,0.00000,0.00000,0.00000,
0.14632,1,normal,0.00000,0.00000,0.00000,
0.15134,1,normal,0.00000,0.00000,0.00000,
0.15574,1,normal,0.00000,0.00000,0.00000,
0.16001,1,normal,0.00000,0.00000,0.00000,
0.16435,1,normal,0.00000,0.00000,0.00000,
0.16932,1,normal,0.00000,0.00000,0.00000,
0.17375,1,normal,0.00000,0.00000,0.00000,
0.17816,1,normal,0.00000,0.00000,0.00000,
0.18257,1,normal,0.00000,0.00000,0.00000,
0.18705,1,normal,0.00000,0.00000,0.00000,
0.19259,1,normal,0.00000,0.00000,0.00000,
0.20579,1,normal,0.00000,0.00000,0.00000,
0.21104,1,normal,0.00000,0.00000,0.00000,
0.21576,1,normal,0.00000,0.00000,0.00000,
0.22118,1,normal,0.00000,0.00000,0.00000,
0.22575,1,normal,0.00000,0.00000,0.00000,
0.23051,1,normal,0.00000,0.00000,0.00000,
0.23527,1,normal,0.00000,0.00000,0.00000,
0.23952,1,normal,0.00000,0.00000,0.00000,
0.24366,1,normal,0.00000,0.00000,0.00000,
0.24835,1,normal,0.00000,0.00000,0.00000,
0.25253,1,normal,0.00000,0.00000,0.00000,
0.25681,1,normal,0.00000,0.00000,0.00000,
0.26919,1,normal,0.00000,0.00000,0.00000,
0.27469,1,normal,0.00000,0.00000,0.00000,
0.27903,1,normal,0.00000,0.00000,0.00000,
0.28321,1,normal,0.00000,0.00000,0.00000,
0.28805,1,normal,0.00000,0.00000,0.00000,
0.29215,1,normal,0.00000,0.00000,0.00000,
0.29623,1,normal,0.00000,0.00000,0.00000,
0.30224,1,normal,0.00000,0.00000,0.00000,
0.30643,1,normal,0.00000,0.00000,0.00000,
0.31192,1,normal,0.00000,0.00000,0.00000,
0.31635,1,normal,0.00000,0.00000,0.00000,
0.32051,1,normal,0.00000,0.00000,0.00000,
0.32456,1,normal,0.00000,0.00000,0.00000,
0.32894,1,normal,0.00000,0.00000,0.00000,
0.33523,1,normal,0.00000,0.00000,0.00000,
0.33943,1,normal,0.00000,0.00000,0.00000,
0.34364,1,normal,0.00000,0.00000,0.00000,
0.35726,1,normal,0.00000,0.00000,0.00000,
0.36163,1,normal,0.00000,0.00000,0.00000,
0.36588,1,normal,0.00000,0.00000,0.00000,
0.37087,1,normal,0.00000,0.00000,0.00000,
0.37542,1,normal,0.00000,0.00000,0.00000,
0.37982,1,normal,0.00000,0.00000,0.00000,
0.38418,1,normal,0.00000,0.00000,0.00000,
0.38895,1,normal,0.00000,0.00000,0.00000,
0.39331,1,normal,0.00000,0.00000,0.00000,
0.39756,1,normal,0.00000,0.00000,0.00000,
0.40173,1,normal,0.00000,0.00000,0.00000,
0.40581,1,normal,0.00000,0.00000,0.00000,
0.41049,1,normal,0.00000,0.00000,0.00000,
0.41472,1,normal,0.00000,0.00000,0.00000,
0.42226,1,normal,0.00000,0.00000,0.00000,
0.42652,1,normal,0.00000,0.00000,0.00000,
0.43100,1,normal,0.00000,0.00000,0.00000,
0.43503,1,normal,0.00000,0.00000,0.00000,
0.43932,1,normal,0.00000,0.00000,0.00000,
